{'短评内容': '特别好', '短评打分': 5}
{'短评内容': '地方很舒服！', '短评打分': 5}
{'短评内容': '特别好特别好', '短评打分': 5}
{'短评内容': '    有停车场', '短评打分': 4}
{'短评内容': '好，合适', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '没住', '短评打分': 1}
{'短评内容': '第二个晚上住这里了，不错，房间比较干净，窗外偶尔有点吵，整体还不错，下次到仙桃商务出差还是决定住这里。', '短评打分': 4}
{'短评内容': '周围环境一般，酒店里面环境还不错，比较干净，设施较为齐全，总体感觉还行。地址在汉江路上面，算是性价比较高的了。', '短评打分': 4}
{'短评内容': '真的很不卫生房间里有蟑螂，酒店前台服务态度也不是很好，硬件设施也很一般', '短评打分': 3}
{'短评内容': '空调不太好，吹的风都是个冷风正好降温把人搞感冒了，其他还行', '短评打分': 3}
{'短评内容': '服务差', '短评打分': 1}
{'短评内容': '酒店环境优雅服务态度房间干净卫生', '短评打分': 4}
{'短评内容': '相对仙桃大部分宾馆，住宿环境很不错', '短评打分': 5}
{'短评内容': '这印像真的不怎么好！设施要更换了！', '短评打分': 3}
