{'短评内容': '有停车场  早餐不错', '短评打分': 5}
{'短评内容': '很好，服务也周到！', '短评打分': 5}
{'短评内容': '原来住过几次，现在涨价了？酒店本身还行，位置也方便，只是周围环境一般，前台服务员态度一般，总体改行啦。', '短评打分': 5}
{'短评内容': '住了还行吧', '短评打分': 4}
{'短评内容': '位置很好，早餐一般', '短评打分': 5}
{'短评内容': '酒店可以，还行', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '新装修的，房间不大，床是榻榻米式，只是连瓶水都没有，酒店离江边不远，走路5分钟!附近吃饭也还方便，总体性价比不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '住了很多次，酒店不错', '短评打分': 5}
{'短评内容': '在桌子上根本没法办公，坐在放地上的一个垫子上，脚都伸不直，这是很大的问题。从没见哪个宾馆桌子这么矮，坐的凳子都没得，必须坐地上。其他都还好', '短评打分': 4}
{'短评内容': '酒店重新装修，所以设备改善中，其他的都挺不错的', '短评打分': 4}
{'短评内容': '后面下次不会再住', '短评打分': 2}
{'短评内容': '一活生生的电话电话电话电话电话', '短评打分': 3}
{'短评内容': '尚可！', '短评打分': 4}
{'短评内容': '位置方便，房间较大，设施比较陈旧', '短评打分': 3}
{'短评内容': '价格严重偏高，服务较差', '短评打分': 2}
{'短评内容': '各项都很满意，就是对房间的空间布置很不满意，空间稍微小了点，而且不够气派，服务还行，早餐也还行，总体来说  很好！', '短评打分': 4}
