{'短评内容': '还可以，不错不错', '短评打分': 5}
{'短评内容': '靠近老破小，也靠商圈，周边环境一般了', '短评打分': 4}
{'短评内容': '酒店位置非常好，附近交通车很多，去旅游景点很方便，很多景点只需坐一辆车即可达，我去南京基本住这酒店。', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '价格实惠，位置优越！', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '房间空间大小可以，卫生也好，地段也好，唯一就是房间不隔音，旁边的房间关门声都听的清楚', '短评打分': 5}
{'短评内容': '还行吧，帮人家定的，还可以吧', '短评打分': 5}
{'短评内容': '房间宽大，在快捷酒店中是较少见的。酒店还有个院子，闹中取静。酒店虽有早餐供应，但较简单，周边餐饮很多，用餐很方便。', '短评打分': 3}
{'短评内容': '房间还可以，环境在马路旁边。淋雨头水大洗澡舒服。床标准，电视节目有，网络一般比较慢。有停车位，但是要拿票。', '短评打分': 5}
{'短评内容': '房间宽敞床也很舒服', '短评打分': 5}
{'短评内容': '还行吧，无线网不是太好。住的还行', '短评打分': 5}
{'短评内容': '凑乎', '短评打分': 5}
{'短评内容': '房间很大，整洁，价格公道，值得入住。洗澡水忽冷忽热，要随时准备调节冷水，防止烫伤。浴室里没有扶手，以免滑倒。早餐不贵、不值，可以不吃，依依不舍地还是住了六天。', '短评打分': 5}
{'短评内容': '总体来说酒店还不错，卫生及环境，性价比也不错。', '短评打分': 4}
{'短评内容': '一般，有点旧', '短评打分': 3}
