{'短评内容': '性价比最高', '短评打分': 5}
{'短评内容': '其实是奔着酒店创始人的故事去的，听说创始人的办公室放着都是枕头，应该是讲究舒适性的。酒店其他都只能算过的去，房间小，但够用。卫生间也干净，主打是床，还算舒适的，但这样国庆500多的价格是贵的。', '短评打分': 5}
{'短评内容': '维也纳值得信赖的酒店，每到一个地方有维也纳优先选择。', '短评打分': 5}
{'短评内容': '环境安静，早餐方便，距离富口居不远，距离翠微百货也不算太远，适合家庭居住，个别房间比较小，服务员能够耐心帮助，', '短评打分': 5}
{'短评内容': '周边没有任何配套设施，而且出门想吃个饭几乎都不可能，交通更是不方便，客房环境嘛只算得上乡村旅馆级别，', '短评打分': 2}
{'短评内容': '周边几乎无任何商业，确实太差了，出门想找个吃饭的抵挡都几乎不可能的，而且周边交通也很不方便，想坐个车都得走很远很远的路程', '短评打分': 2}
{'短评内容': '搞活动买的，一般般。', '短评打分': 4}
{'短评内容': '不错。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '服务不错，环境也还不错', '短评打分': 5}
{'短评内容': '北京的维也纳太少了，比深圳的房间面积小', '短评打分': 5}
{'短评内容': '可以?免费升级不错很灵活', '短评打分': 5}
{'短评内容': '很不错，别的平台没订到，京东就可以。还有优惠', '短评打分': 5}
{'短评内容': '很好 、很舒服 、还有优惠卷 很喜欢 。', '短评打分': 5}
{'短评内容': '酒店不错，免费给升级', '短评打分': 5}
{'短评内容': '酒店不错，免费给升级', '短评打分': 5}
{'短评内容': '酒店交通不方便 价格便宜房间大是优点', '短评打分': 4}
{'短评内容': '总体非常满意的一次住宿体验！', '短评打分': 5}
{'短评内容': '每次都在这', '短评打分': 5}
{'短评内容': '一直在住 ', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '好！！', '短评打分': 5}
{'短评内容': '酒店环境不错  旁边有超市 购物很方便  前台服务也很好', '短评打分': 5}
{'短评内容': '干净，整洁。舒服，空间大，床也大', '短评打分': 5}
{'短评内容': '不错，环境干净，舒服。空间很大', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '每次都住', '短评打分': 5}
{'短评内容': '每次都住', '短评打分': 5}
{'短评内容': '酒店没有餐厅，对出公差的朋友就不太适合了，但家庭旅行还是可以考虑的。', '短评打分': 1}
{'短评内容': '今天退房的时候才知道南边的房间大一些，以后就专门点南边的房子住，感觉像正规酒店的房间面积及配置', '短评打分': 5}
