{'短评内容': '价格合适，环境很好，交通方便，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，', '短评打分': 5}
{'短评内容': '服务态度很差', '短评打分': 3}
{'短评内容': '交通方便', '短评打分': 3}
{'短评内容': '交通方便，服务不好', '短评打分': 3}
{'短评内容': '算是恒不错啦，地理位置的话离各个景点不算太远，交通也方便，附近有地铁站，公交站，附近吃东西的地方也很多，东西也不错！', '短评打分': 5}
{'短评内容': '交通很便利，周边吃的也很多，宾馆硬件条件不错，就还是陈旧了些， 卫生较好，前台很是热情，总体来说还是不错的！很舒适。再次愿再入住。', '短评打分': 5}
{'短评内容': '主要在医院附近，所以还行，很老的宾馆，一百来块钱的事，不能要求太高了', '短评打分': 3}
{'短评内容': '“宽带免费”，原来只能支持手机和平板，电脑连接无线时给出的页面提示是“暂不支持PC”，现在都是网络时代了，酒店不支持电脑上网的全国罕见，前台给出的解释非常生硬，让人无可奈何，说不过他们，感觉很憋屈，只能忍耐。既然电脑不了上网，携程网明确注明“宽带免费”算不算欺骗消费者。', '短评打分': 2}
{'短评内容': '周边环境一般，靠近马路，交通比较便利，公交、地铁环侍左右。卫生条件一般，服务一般。', '短评打分': 3}
{'短评内容': '交通很便利，离夫子庙很近的。宾馆硬件条件不错，就是有点旧了，估计年代比较久的原因。 酒店旁边正在施工，所以每次都是早上被吵醒。 总体来说还是不错的！很舒适。', '短评打分': 4}
{'短评内容': '交通很便利，离夫子庙很近的。宾馆硬件条件不错，就是有点旧了，估计年代比较久的原因。 酒店旁边正在施工，所以每次都是早上被吵醒。 总体来说还是不错的！很舒适。', '短评打分': 4}
{'短评内容': '这次住的和上次不一样，都是定大床房，这次给的是靠边的，房间小，感觉差好多，房间电视信号不太好，老卡，还有就是返现怎么没看到啊！', '短评打分': 3}
{'短评内容': '房间干净，前台服务规范。', '短评打分': 3}
{'短评内容': '空调太差，热死了。晚上一度想要换个宾馆....', '短评打分': 1}
{'短评内容': '还不错，特别是冰箱让我们大吃一惊，性价比超高，相当给力', '短评打分': 5}
{'短评内容': '不错还有小冰箱\r\n\r\n', '短评打分': 3}
{'短评内容': '押金不能刷卡啊，而且居然还需要手填入住信息。。。网络是无线网，信号不太好。。。', '短评打分': 3}
{'短评内容': '还可以经济实惠', '短评打分': 3}
{'短评内容': '网络太差，无法上网。', '短评打分': 3}
{'短评内容': '在九龙宾馆住了二天.这里在刚建时肯定是硬件最好的.二十四小时热水随时可以冲澡.距离新街口.夫子庙.总统府都挺近的.它的位置应该说是杨公井车站这里.', '短评打分': 3}
{'短评内容': '比较旧 还算干净', '短评打分': 3}
{'短评内容': '酒店位置很好，去夫子庙、玄武门都很方便，酒店卫生还算干净，服务人员很热情，态度很好', '短评打分': 5}
{'短评内容': '酒店很干净，位置好，很方便。', '短评打分': 3}
{'短评内容': '性价比很高', '短评打分': 3}
{'短评内容': '性价比还不错。位置在新街口处，去其它地方都很方便。\n', '短评打分': 5}
{'短评内容': '设施老旧，隔音比较差，还算比较干静，每天都来整理，住得还是比较舒服的。', '短评打分': 3}
{'短评内容': '位置、环境都可以，交通便利，房间够大，性价比高！服务意识尚可！', '短评打分': 5}
{'短评内容': '性价比高', '短评打分': 3}
{'短评内容': '价格还不错，房间也比较大。只是设施比较旧了点。其它都还OK。', '短评打分': 5}
{'短评内容': '还不错，订的商务大床间，比想象中的大，周围环境不是很好，不过离新街口很近，走路就可以到了，设施有点旧，不过这个价格值了。', '短评打分': 5}
{'短评内容': '超出我的预期。\n开始我以为是下面说的那种90年代的，应该不行。但是很不错。\n有浴缸，很干净。房间卫生弄得很不错。\n液晶电视很大。\n虽然是写着10-12平，但是感觉上有20平的样子了。\n空调还行吧。中央空调都那样。夜里会冷。\n令我惊喜的是有小冰箱。好吧。。可能是我孤陋寡闻了。。但是我第一次看到有小冰箱的价位在150左右的酒店。\n不足的是我一直没看到保洁员。。好吧。。我没什么安全感。而电梯、走廊一个保', '短评打分': 5}
{'短评内容': '总体还可以，交通方便，周边安静。唯一不足的就是空调不行', '短评打分': 5}
{'短评内容': '环境很好，交通方便', '短评打分': 3}
{'短评内容': '还不错，值这个价。房间很大，窗外风景不错', '短评打分': 5}
{'短评内容': '毛巾十分干净，有浴缸，打的要和司机说到八一医院，一下车就能看到宾馆的门牌，否则许多人不知。值得一住。', '短评打分': 5}
{'短评内容': '房间十分宽敞，比较干净，位于新街口与夫子庙的中间地段，交通便利，值得一住。', '短评打分': 5}
{'短评内容': '这个酒店应该说是九龙大厦旗下的住店，九龙大厦集桑拿、住宿、餐饮、会议什么一起的。\n房间挺大的，铺的地毯，唯一的缺点就是淋浴不怎么给力，不像一般的酒店喷头是可以拿下来的，这个淋浴喷头是固定在上面的，洗澡就跟水往下倒一样，有点坑爹啊。。\n总体而言性价比还是很高的。', '短评打分': 5}
