{'descr': '环境卫生隔音都非常好，地理位置方便，该有的都有挺好的，房间很大，干净舒适，空气流通好，交通便利，前台美女很热情，性价比超棒，周边繁华，出入方便，服务好，满意。可以经常来这里，非常好的酒店，作为经济房，床还是挺大的\xa0。也很干净，一如既往，方便快捷，7天忠实的住客，离地铁口也很近。', 'star': 5}
{'descr': '环境挺好的', 'star': 5}
{'descr': '环境不错，价格实在', 'star': 5}
{'descr': '各方面都挺好的尤其服务是态度都挺不错的', 'star': 5}
{'descr': '我也不知道怎么就退房了，要是不能在京东订房，就不要那个', 'star': 5}
{'descr': '还不错。。。。', 'star': 5}
{'descr': '服务不错哟，价格实在，全好评！', 'star': 5}
{'descr': '门面在巷子里面，挺安静，房间小，听干净的', 'star': 5}
{'descr': '根本就订不到房 老是退款。', 'star': 3}
{'descr': '根本就订不到房 老是退款。', 'star': 3}
{'descr': '根本就订不到房 老是退款。', 'star': 3}
{'descr': '根本就订不到房 老是退款。', 'star': 3}
{'descr': '好好好好好好好好好好好好好好', 'star': 5}
{'descr': '1234456677788', 'star': 5}
{'descr': '环境卫生都不错', 'star': 5}
{'descr': '酒店还可以。', 'star': 5}
{'descr': '服务员很客气！态度好！下次再来！', 'star': 5}
{'descr': '可以。。，？。？', 'star': 5}
{'descr': '环境卫生不错的，服务也行。', 'star': 5}
{'descr': '环境不错，很干净，交通很便利', 'star': 5}
{'descr': '房间是7天的典型风格，1.8m的大床房间很舒适，WIFI速度很快，这些是优点，缺点也不少:1.携程网地图上的地址错误，把我误导到火车站店去了；2.酒店电梯坏了，需要爬楼梯；3.房间里面有蚊子，把孩子身上咬了好几个包。', 'star': 5}
{'descr': '可小的一个屋子，地图也不准，七天都不这样啊，太次了！', 'star': 4}
{'descr': '还算不错，就是卫生间设备不太好', 'star': 4}
{'descr': '服务真心不错，有点小问题都能及时解决，下次来肯定接着住这里', 'star': 5}
{'descr': '非常不错，位置离火车站很近，坐地铁和机场大巴都很方便', 'star': 5}
{'descr': '酒店位置挺好找，出了火车站有地下通道，不远就到了。前台可以寄存行李，省了火车站寄存行李的钱，挺不错的，房间就跟其他七天一样。', 'star': 3}
{'descr': '位置很好，出行方便，楼下就是派出所，安全', 'star': 3}
{'descr': '不错 离火车站很近 很干净', 'star': 3}
{'descr': '还可以吧', 'star': 4}
{'descr': '要', 'star': 5}
