{'短评内容': '挺干净', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '前台小姐姐态度很好，而且房间很干净，而且很大，采光也特别好，也比较安静 ，很满意', '短评打分': 5}
{'短评内容': '房间很大，很干净，还有阳台，采光特别好，安静，地理位置优越，地铁站就在附近，服务很贴心，很满意的一次入住！', '短评打分': 5}
{'短评内容': '很方便，离地铁口仅800米左右', '短评打分': 5}
{'短评内容': '酒店蛮不错的，交通也很方便，设施什么的都挺不错的。前台的服务人态度也很不错，关键还很便宜。唯一不足的是靠窗这一排晚上稍微会有点吵，我住的是四楼，可能再往上几层会好点。', '短评打分': 5}
{'短评内容': '出乎意料的好，房间太大了，很宽敞，这两天暖气很给力。酒店位置很好找，附近还有大超市，方便。唯一不足的地方就是退房时间太早。', '短评打分': 5}
{'短评内容': '房间暖气很足，空间很大，还有两瓶免费的矿泉水，但是服务有待加强，让前台送个东西，总是说没人下来自己取，总体还不错，下次有机会再来！', '短评打分': 5}
{'短评内容': '干净卫生！', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '汉庭，大家懂得', '短评打分': 3}
{'短评内容': '刚看到时外部环境比较乱，进入后房间格局和卫生都比较好，服务态度也很好，隔音效果很好，但是吹风机一会儿停一会儿好，太揪心了', '短评打分': 5}
{'短评内容': '可以停车。服务热情，退房神速。', '短评打分': 5}
{'短评内容': '服务很周到，房间好大啊', '短评打分': 5}
{'短评内容': '不错，挺好的', '短评打分': 5}
{'短评内容': '中午吃完饭晚了10来分钟就要收半天房钱，抢呢', '短评打分': 1}
{'短评内容': '干净利落的酒店，交通也方便，是不错的选择！', '短评打分': 3}
{'短评内容': '标准间很大，很干净，出门公交车也挺方便。', '短评打分': 5}
{'短评内容': '房间很大，很干净，也比较安静，前台入住时只收房费，没有押金，退房一分钟搞定了。', '短评打分': 5}
{'短评内容': '干净，舒适，设备齐全，很好。就是交通不是很方便。服务员态度也很好。', '短评打分': 5}
{'短评内容': '干净，舒适，设备齐全，很好。就是交通稍微有点不太方便，公交站要走一段路程才有', '短评打分': 5}
{'短评内容': '很干净，没有押金，退房很快不用等。就是靠路边会很吵…还是很满意', '短评打分': 3}
{'短评内容': '这家店是新开不久的，房间物品配套都挺新的，而且员工很主动热情，就是假如你住到临近公路的房间，会有点吵。这个无法客服', '短评打分': 5}
{'短评内容': '新开的 挺不错的 逐步完善吧', '短评打分': 3}
{'短评内容': '汉庭快捷酒店（西安长乐东路店）是8月份刚开的，卫生条件不错，服务人员态度很好，值得入住。', '短评打分': 5}
