{'短评内容': '位置好，条件一般', '短评打分': 4}
{'短评内容': '垃圾中的垃圾，房间热水不热，空调没遥控器，无线网速差，电视是好老的那种，遥控器不能用，房间天花板上没灯，周边没卖东西的', '短评打分': 2}
{'短评内容': '总体感觉一般，不太实惠。', '短评打分': 3}
{'短评内容': '环境可以，价格合适', '短评打分': 4}
{'短评内容': '卫生服务挺好，就是设施比较老，无线网信号很差。', '短评打分': 5}
{'短评内容': '有个大院，停车方便，环境也不错', '短评打分': 3}
{'短评内容': '不好！强烈建议不要去。说是特价，这个价钱我都可以住连锁非常得了。那个房间顶多也就值个70元。', '短评打分': 3}
{'短评内容': '酒店不错哦。酒店不错哦。酒店不错哦。酒店不错哦。酒店不错哦。酒店不错哦。酒店不错哦。酒店不错哦。酒店不错哦。酒店不错哦。酒店不错哦。酒店不错哦。酒店不错哦。', '短评打分': 5}
{'短评内容': '房间隔音很差，地段偏僻，周围没有吃饭的地方。很一般', '短评打分': 1}
{'短评内容': '酒店不错，服务态度很好。离车站很近，方便', '短评打分': 3}
{'短评内容': '没电梯，交通不方便，是单行道上的一个胡同里。要打车绕好大一圈才能到。房间小，环境很一般。不要来了。', '短评打分': 1}
{'短评内容': '距长途汽车站近。价格合理。有餐厅，第二次入住了。', '短评打分': 5}
{'短评内容': '很好，离车站很近\n酒店人员也很好，到扫很及时\n只是没有一次性拖鞋不大好，这个价位在车站附近很不错了，推荐', '短评打分': 5}
{'短评内容': '距离客运总站很近，热水很足，环境还可以，有双早餐，最主要的：很安静。', '短评打分': 5}
{'短评内容': '距离济南长途汽车总站很近，价格便宜，有餐厅，对住宿条件要求不高的情况下可以选择。', '短评打分': 5}
{'短评内容': '洗澡时热水不给力啊！！还断水！！！气死人！！！！', '短评打分': 5}
{'短评内容': '不错的酒店，距离汽车站非常近，非常便于出行！酒店设施也还不错，性价比非常高！', '短评打分': 5}
{'短评内容': '该宾馆没有电梯，对人住客人来说很不方便，银联卡也不使用。', '短评打分': 5}
{'短评内容': '环境不错 比较安静 还有停车场 就是三楼热水压力不够 早餐有点单调 价位在这可以接受', '短评打分': 5}
{'短评内容': '从堤口路汽车站出来很好找。在居民小区里很安静，房间也干净，但房间隔音不好。整体还可以吧。', '短评打分': 5}
{'短评内容': '房间其实是比较简陋的，热水器也不大好用。早晨早晨是稀饭、鸡蛋和油条。如果经济条件允许的话，不推荐住这家宾馆。', '短评打分': 1}
{'短评内容': '位置优越，环境不错，比较干净，129元还包含早餐很实惠！就是推迟退房难商量，必须12点前退房不好，有待改进！', '短评打分': 3}
{'短评内容': '该宾馆不能使用银联卡，如果入住的话，就要带很多现金付房费，很不方便也很不安全。', '短评打分': 1}
{'短评内容': '该宾馆没有电梯，对提行李人员来说很不方便。房间隔音很不好。', '短评打分': 1}
{'短评内容': '离长途汽车站很近，因为第二天一早要要坐车，最多10分钟到\n如果比较着急还是住这里吧\n出来车站十字路口就可以看到指示牌，挺方便的，应该都找得到，比较人性化，不要打的\n早餐也可以，不过比较简单\n价格比较合适，以前在高铁西站那边住的那么贵，不如这边实惠\n但是标准间床比较小，比一般的酒店床小很多，不是很软\n就性价比来说比较不错。不过不是坐车方便还是花点钱住别的吧\n', '短评打分': 5}
{'短评内容': '环境不错，蛮安静~离火车站，汽车站都很近，去景点也都很方便', '短评打分': 5}
{'短评内容': '非常不错的酒店，下次还会再来的。酒店内部陈设非常不错，性价比非常高！', '短评打分': 5}
{'短评内容': '很好，地理位置优越，早餐丰富，干净卫生，有家的感觉', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '宾馆周围环境挺安静的，整体感觉还不错', '短评打分': 3}
{'短评内容': '\u3000一切都好，就是蚊子让人受不了', '短评打分': 3}
{'短评内容': '酒店服务不错，还提供早餐，很好，连续住了两天！', '短评打分': 5}
{'短评内容': '酒店服务不错，网络速度也比较快，就是位置不太好找，总体还可以值得推荐！', '短评打分': 5}
{'短评内容': '酒店房间一般不过有个停车场 很不错 方便我们自驾的 ', '短评打分': 5}
{'短评内容': '还可以。', '短评打分': 3}
{'短评内容': '条件还可以,房间干净，还有停车场，吃饭也不错。就是路难找。', '短评打分': 5}
{'短评内容': '条件不错，比较干净，性价比比较高。只是没有一次性拖鞋没有一次性杯子，服务员给一次性杯子很小气。', '短评打分': 1}
{'短评内容': '在小街道上，环境不错，挺安静的。24小时热水可以洗浴。房间也很干净的。有免费自助早餐，服务员态度也不错。只是开始入住时，因为出租车司机说不知道宾馆在什么地方，让我们在天桥区政府那里下了车，我们自己走了一段路程才到宾馆，若是拿的东西多的话，将是很累的奥。', '短评打分': 5}
{'短评内容': '地点不错，价格便宜，环境也很好，还有早餐，很理想！', '短评打分': 5}
{'短评内容': '地方不太好找，比较隐蔽，楼上一直在装修，噪音很大，影响休息', '短评打分': 1}
{'短评内容': '酒店位置幽静，干净整洁，服务周到，早餐也不错，自助式，管饱，满意', '短评打分': 5}
{'短评内容': '我们住的是129元的房间。。没想到用下电脑就成159元了。。相对于济南这样的房间159元有点偏贵了。。其余的还行。。挺干净的。', '短评打分': 1}
{'短评内容': '环境还行吧，离汽车站真是很近，就是有点不好找啊！呵呵 。。不过知道路了，就好多了！', '短评打分': 5}
{'短评内容': '酒店环境不错，不过空调有问题，服务态度还好，去的晚点，早餐只有油条和鸡蛋，米粥！就是门的缝隙太大，隔音效果很差，早餐还有孩子在外面吵闹。', '短评打分': 5}
{'短评内容': '酒店房间卫生状况可以.但比预定时间晚到且提前联系不认可.且态度不好.', '短评打分': 3}
{'短评内容': '宾馆很好，很干净，早餐也很好吃，服务态度好，很安静，下次还来～', '短评打分': 3}
{'短评内容': '很不错,周围环境优雅,安静,服务态度很好', '短评打分': 3}
{'短评内容': '这段时间一直忙没有看邮件，也忘记评价了很抱歉，天瑞这个地方比较偏僻点，如果和我一样喜欢清净的这是个不错的选择，价格也不高，129元，早点有包子，豆浆，鸡蛋，我就吃了一次早点，豆浆还不错，鸡蛋也行，建议增加点别的种类，我不知道有没有像我这样不吃包子的同志，宾馆的整体感觉很不错，就是隔音差了点，我记得我住的208房间，那个空调不太好，呵呵···希望早点维修好，推荐入住此宾馆，别的宾馆我不清楚，如果没有', '短评打分': 5}
{'短评内容': '客房条件很好，舒适且自然，有些家的感觉，很舒服.', '短评打分': 5}
{'短评内容': '位置好，出行方便，而且客房的条件也是非常到位的，印象不错.', '短评打分': 5}
{'短评内容': '房间干净整洁，提供日常用品，质量还不错，床很舒适住着温暖舒适.', '短评打分': 5}
{'短评内容': '酒店有自己的餐厅，而且提供的食物味道还不错，主要是量大，价格实惠.', '短评打分': 5}
{'短评内容': '蛮好。', '短评打分': 3}
{'短评内容': '服务人员每天都洋溢着青春的笑脸，给我亲切的感觉，显得格外的温馨，住着也格外的舒服.', '短评打分': 5}
{'短评内容': '已入住', '短评打分': 3}
{'短评内容': '还可以，空调没有摇控器。', '短评打分': 3}
{'短评内容': '这家酒店入住起来很有家的感觉，前台服务员对我们很热情周到，房间干净整洁，设施一应俱全，布置的也很温馨，洗完澡躺床上看电视，很惬意', '短评打分': 5}
{'短评内容': '酒店的餐饮服务很好，菜量很多，口味不错，蛮实惠的，早餐丰盛，豆浆都是现煮的，感觉真是物超所值的酒店', '短评打分': 5}
