{'短评内容': '总体上不错', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '一直住这家酒店，服务态度和一般连锁酒店差不多，房间卫生还好', '短评打分': 5}
{'短评内容': '还好吧！！！！！', '短评打分': 4}
{'短评内容': '还好！！！！！', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '出差可以住', '短评打分': 4}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '出差住还可以', '短评打分': 4}
{'短评内容': '可以，相当满意！！！！！！！！！', '短评打分': 5}
{'短评内容': '位置比较难找，周围生活倒是很方便，夜排挡很多，凌晨还有好多人，噪音很大，隔音很差，周围还有施工。前台不能刷卡，要求现金支付。更搞的，晚上不知什么时候停的电。退房发票也开不了。', '短评打分': 4}
{'短评内容': '就是一个实惠便利、干净方便的简洁酒店', '短评打分': 5}
{'短评内容': '满意，就是找不到火车站??', '短评打分': 5}
{'短评内容': '还算比较不错的酒店吧，没有停车位，难停车，早餐单一', '短评打分': 3}
{'短评内容': '酒店设施陈旧，卫生差，周边环境吵杂，位于老小区之中。', '短评打分': 3}
