{'descr': '地理位置很好，紧邻步行街，出行比较方便。', 'star': 3}
{'descr': '房间大，比较安静，在市中心靠近步行街购物很方便', 'star': 3}
{'descr': '朋友住的！！！！！！！！', 'star': 3}
{'descr': '拿东西不方便，洗个澡外面一地都是水，不能走人了，因为拿的楼梯口房间，还算安静', 'star': 4}
{'descr': '酒店非常干净，环境好，周边购物环境也不错，值得再次入住', 'star': 3}
{'descr': '宾馆位置很好，装修不太新了，房间挺大的。到得较晚，前台给安排的电脑房。吃完晚饭回去已经10点，发现没有香皂或者沐浴液，让前台给拿过来，前台推脱服务员已经下班让我坚持到转天上班再给我送。一路旅途劳累再不能洗澡，这样的情况还是第一次遇到。在我再三坚持下，过了半个小时才勉强送来。本来高兴终于可以洗澡了，可是花洒龙头出水只向四周喷，中间喷得很少，热水忽冷忽热，还是没洗好澡。打开抽屉还发现很多上个客人留下的', 'star': 3}
{'descr': '好', 'star': 5}
{'descr': '一般', 'star': 4}
{'descr': '一般', 'star': 4}
{'descr': '房间环境很不错', 'star': 3}
{'descr': '房间环境很不错', 'star': 3}
{'descr': '不错，各方面都不错，交通方便~~~~~~~~~~~~~', 'star': 5}
{'descr': '不错，各方面都不错，交通方便~~~~~~~~~~~~~', 'star': 5}
{'descr': '不错，房间挺大，床也挺大，推荐。。。。', 'star': 3}
{'descr': '不错，房间挺大，床也挺大，推荐。。。。', 'star': 3}
