{'短评内容': '质量不错，满意。', '短评打分': 5}
{'短评内容': '酒店位置不错，离高铁站很近，但是很安静，有停车场', '短评打分': 5}
{'短评内容': '很舒服', '短评打分': 5}
{'短评内容': '不错，方便干净', '短评打分': 5}
{'短评内容': '房间装修有点老，卫生设施都还可以。价位在那摆着。', '短评打分': 5}
{'短评内容': '不错，非常划算，而且免费给升了级。服务周到。', '短评打分': 5}
{'短评内容': '镇江大酒店在火车站北广场旁边，外出很方便，不论到金山还是西津渡，打车都很近。酒店是四星级的，很靠谱，各方面设施都很靠谱，房间里居然还有可以上网的电脑。', '短评打分': 5}
{'短评内容': '很不错的酒店，就在火车站附近，很棒！', '短评打分': 5}
{'短评内容': '体验不错，价格不贵，还有京豆返还', '短评打分': 5}
{'短评内容': 'hhhhhhhhhhhhhhhhhh', '短评打分': 4}
{'短评内容': '性价比高', '短评打分': 5}
{'短评内容': '0 / 500（评价多于10个字,有机会奖励京豆哦~）', '短评打分': 5}
{'短评内容': '优点：交通方便，镇江可玩的景点都有公交可以到达，步行十几分钟就是万达广场和常发广场，吃饭方便，卫生条件也还行。\n缺点：周围一直施工，酒店入口处的噪声和灰尘都比较多，酒店设施比较老，和主题宾馆还是有差距。', '短评打分': 5}
{'短评内容': '房间很舒适，东西也全，服务意识很强，5分好评。', '短评打分': 5}
{'短评内容': '老酒店，可惜占了个好位置。服务人员成堆儿聊天，却不给客人提供服务！没有一点儿四星酒店的样子，连个快捷酒店都不如，以后绝不再前往入住。大概是国营企业的原因吧！民营企业绝不会养这么多吃饭不干活的闲人', '短评打分': 4}
{'短评内容': '酒店位置很好 高铁站北广场 性价比很高 ', '短评打分': 4}
{'短评内容': '就在火车站边上，位置相当好，交通购物也都很方便。房间也免费升了级，很干净很宽敞，性价比非常高，体验很好。下次去镇江依然会选择这里。', '短评打分': 5}
{'短评内容': '老酒店了，但是房间很干净', '短评打分': 5}
{'短评内容': '性价比高，位置在火车站北广场，旁边吃饭的地方不多，但可以走路到万达广场。旁边正在施工有点吵。卫生条件和设施还不错。就是洗澡水有点小', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '装修后比以前好多了，也很安静。外面环境搞好后更加好。', '短评打分': 5}
{'短评内容': '酒店距离镇江高铁站，汽车站还是很近的，就是没有早餐。', '短评打分': 3}
{'短评内容': '无早，但可以好评换早餐，不太好', '短评打分': 3}
{'短评内容': '挺好的，每次来都住这里呢', '短评打分': 5}
{'短评内容': '蛮干净的，隔音也好，住的安心安静', '短评打分': 5}
{'短评内容': '很一般很一般', '短评打分': 4}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '不错，环境挺好的！赞一个', '短评打分': 5}
{'短评内容': '酒店就在火车附近，非常方便，酒店服务态度不错。周边公交车去景点也很多', '短评打分': 4}
{'短评内容': '其实是在高铁站的另外一边，它是在老火车站的对面', '短评打分': 5}
{'短评内容': '总的不错，房间旧了点！', '短评打分': 3}
{'短评内容': '交通便捷，酒店内部装修不错，早餐不错，洗漱用具有四星级的感觉', '短评打分': 5}
