{'descr': '总的来说还不错，就是网速实在是太慢，连电影都看不成', 'star': 3}
{'descr': '非常好非常好非常好非常好非常好非常好非常好非常好', 'star': 5}
{'descr': '性价比还可以，周边小吃很多。交通便利。总体感觉不错。', 'star': 5}
{'descr': '还不错噢....蛮干净的.......下次还会来这里的。。。。。呵呵。。。。。', 'star': 5}
{'descr': '交通较方便、邻近地铁3号、4号线、11号线，酒店环境尚可；一楼的老政兴汤包不错，一笼6个6元钱，汤汁很多很鲜，小馄饨也很好，味道不错；有不少附近小区的居民在这里用餐，说明价格公道，比较受欢迎。', 'star': 5}
{'descr': '性价比挺高的一家酒店，07室视野开阔，采光很好。', 'star': 5}
{'descr': 'y一般，一般，一般，一般一般，一般，一般，一般一般，一般，一般，一般一般，一般，一般，一般一般，一般，一般，一般一般，一般，一般，一般y一般，一般，一般，一般一般，一般，一般，一般一般，一般，一般，一般一般，一般，一般，一般一般，一般，一般，一般一般，一般，一般，一般', 'star': 1}
{'descr': '酒店工作人员态度较好', 'star': 3}
{'descr': '快捷上午酒店 如果要求一般的 还是可以去住住', 'star': 5}
{'descr': '位置不错 但是就是床太硬 退房入住都很方便 出门打车也很方便', 'star': 5}
{'descr': '普通的商务快捷酒店，没有特别之处，挺干净的', 'star': 5}
{'descr': '还是比较干净的一家店，服务员态度不错。就是那个毛巾和盖的被子有点味道。需要加强下。', 'star': 5}
{'descr': '整体来说还是不错的，没什么不好，也没什么特别的', 'star': 5}
{'descr': '还行。挺干净的。就是房间信息管理不太完善。。。。。。', 'star': 5}
{'descr': '酒店还算干净，服务也不错，价格也适中，总体来说不错。', 'star': 5}
{'descr': '恩呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃鹅鹅鹅啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊', 'star': 1}
{'descr': '便捷式酒店里设施算不错~~第一晚住时，网线坏了，也及时抢修了~~服务不错~', 'star': 5}
{'descr': '一般般，地毯有点脏，有点霉味，大堂服务员很古板，不会变通，身份证非要对应才行，换个人的身份证还不让入住，解释半天，但是态度很好，优势在态度上，希望保持，不住也没有办法，这条路上就这一个酒店，想住别的都没有。', 'star': 1}
{'descr': '床很舒服。入住时前台耽搁很久，效率低。房间空调直对写字台，不方便工作。周围生活方便，近地铁站。电视屏幕不够清晰，有些许雪花。从一楼坐电梯要使用房卡，不方便标准间的住客', 'star': 5}
{'descr': '将就随便住一晚上还是可以的，地上不是很干净 房间也不是很大 ，只能马虎一下！价格还算便宜！交通很方便！', 'star': 5}
{'descr': '酒店的外环境不是很好，脏乱的小店横行，内部环境还是很好的，房间很干净也很宽敞没什么味道。晚上附近的武宁路上有夜市，而且开到蛮晚的，基本是卖衣服鞋子等等，还是不错的。', 'star': 5}
{'descr': '房间还不错', 'star': 3}
{'descr': '门禁系统不错，看起来还是蛮安全的，房间面积有点小，不过一个人也够住了。卫生间的花洒水有点小.装修可能是年代原因，有点陈旧。楼下吃饭，购物都不较方便，总体来说，来沪办事还是值得的，但是出来旅游游玩不是很推荐。', 'star': 5}
{'descr': '服务还有态度什么的都还好了。就是维修速度太慢了。。', 'star': 5}
{'descr': '还好了。...基本上价格什么的都还行/////就是电话修理有点弄不懂为什么还要开通外线.开通外线还那么麻烦呵呵。.建议入住不用说就开通电话把。.在外面漫游长途真有点郁闷\n', 'star': 5}
{'descr': '闹中取静，还算不错。环境一般，周边比较乱', 'star': 5}
{'descr': '房间还是很干净，网速很快', 'star': 3}
{'descr': '房间很不错', 'star': 3}
{'descr': '房间不大但是两个人住足够了、厕所很大挺宽敞的', 'star': 5}
{'descr': '退房时间12点很硬，其他连锁都可以延时。房间还可以，比较整洁。\n', 'star': 1}
{'descr': '距离新西宫很近~ 逛街夜市都很方便，酒店房间也挺大的~总之性价比高！', 'star': 5}
{'descr': '房间干净，但是小，无餐厅', 'star': 3}
{'descr': ' not too bad!', 'star': 3}
{'descr': '很好', 'star': 3}
{'descr': '前台左姓的小伙子不错，态度很好，积极带我的客人参观房间，我打了好几个电话给他，他都热心的解答我的询问。推荐！', 'star': 5}
{'descr': '还差不多吧。', 'star': 3}
{'descr': '还不错 东西忘了 回去拿 阿姨另外放出来 很感动。。。', 'star': 5}
{'descr': '设施和服务态度都很好,附近是居民区很方便', 'star': 5}
