{'短评内容': '住了一个多月', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '宾馆早餐不错，花式品种较多，酒店不能加床，但有停车位，酒店位置交通方便，便于找寻，适合家庭带孩子游玩暂住。', '短评打分': 5}
{'短评内容': '有停车场，早点较好', '短评打分': 5}
{'短评内容': '性价比好，还可以', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '硬件配置老久，卫生不到位。', '短评打分': 2}
{'短评内容': '上网有点不给力，其他都还好', '短评打分': 4}
{'短评内容': '不错 挺好的 住住很舒服 每次在哪里 基本上都选这家', '短评打分': 3}
{'短评内容': '地理位置好、就是房间有点旧、服务员态度还可以。', '短评打分': 4}
{'短评内容': '记住住在背面的房间好些，临路的声音大。配了三层窗。', '短评打分': 3}
{'短评内容': '垃圾的不行啊！尼玛被子都是球，早上五点就吵的不行，梳子是个破的，垃圾！', '短评打分': 1}
{'短评内容': '刚开始给了一个很小的大床房，后来换了个标间，大小还算差不多了。不过这里真的有点不方便的样子，出去吃饭好像走路是找不到有什么吃的地方', '短评打分': 1}
{'短评内容': '环境不错，就是空调不给力', '短评打分': 3}
{'短评内容': '早晨去吃早餐餐厅里空无一人,后来去问说8:30就结束了,真郁闷', '短评打分': 3}
{'短评内容': '不错的地段和房间设施', '短评打分': 3}
{'短评内容': '还行，交通 便利，如果是在小港办事是很方便的，就是貌似床单垫子不是很卫生。其他还不错，这个价钱这样也算是可以的，就是一楼的火锅味道很重，估计因为二楼开着火锅店，所以这样.....', '短评打分': 5}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '酒店性价比还行，吃饭在酒店里比较方便，自助火锅。酒店刷卡付款这点不好，POS机总是在离线的情况下完成付款，害得我到现在预授权还冻在哪里？酒店不结款，永远冻在那里，郁闷', '短评打分': 5}
{'短评内容': '酒店在北仑还算可以，服务还好，就是早餐差点。。。', '短评打分': 5}
{'短评内容': '还可以，主要是为了去高尔夫球场办事预定的，离那里还算近，房间也还不错，对得起这个价格。', '短评打分': 5}
{'短评内容': '给别人订的，据说还可以，看起来很大，还可以吧', '短评打分': 5}
{'短评内容': '酒店太差了，根本就不配188的价格，后悔啊', '短评打分': 1}
{'短评内容': '价钱便宜,就是地方比较偏,总体感觉还凑合,比较适合一个人住,大家自己理解吧,哈哈.', '短评打分': 5}
{'短评内容': '交通便利，就是火锅味太浓', '短评打分': 3}
{'短评内容': '位置很好, 闹中取静 ! 不错的酒店值得推荐 ! 服务很到位 .', '短评打分': 5}
{'短评内容': '很干净，很宽敞', '短评打分': 3}
{'短评内容': ' 刚入住，看着还行', '短评打分': 3}
{'短评内容': '环境很好', '短评打分': 5}
{'短评内容': '总体感觉还不错，性价比蛮高的，推！早餐0630-0900，太早结束了，建议到1000，服务一般，叫服务员加满纯净水，加的水有味道，还以一个问题，房间隔音不是太好，隔壁说话可以听见。', '短评打分': 5}
{'短评内容': '酒店的整体装修还是比较华丽的，卫生条件很好，房间隔音效果也很不错，还有就是早餐很合我的口味', '短评打分': 5}
{'短评内容': '酒店住宿环境很好，交通出行很便利，性价比高，服务态度也很好，从酒店到大榭岛旅游比较方便', '短评打分': 5}
{'短评内容': '酒店里面的早餐还是很不错的，品种多，口味很好，房间卫生条件很好，打扫的很干净，服务也蛮周到热情的，住着很舒适', '短评打分': 5}
{'短评内容': '+感觉环境还可以', '短评打分': 5}
{'短评内容': '整体不错哈，住的舒适，安心，交通也比较方便，离北仑职高比较近', '短评打分': 5}
{'短评内容': '酒店的早餐很不错，比较和我的胃口，服务人员也很热情.', '短评打分': 5}
{'短评内容': '印象比较深的就是服务很好，对待客人态度都很热情。很专业。', '短评打分': 5}
{'短评内容': '位置很不错，出行交通很方便，性价比也很合理适中。', '短评打分': 5}
{'短评内容': '酒店很干净卫生打扫的很好，很彻底。整体软件都很不错。', '短评打分': 5}
{'短评内容': '还不错。就是离市区远。但是离小港很近。所以出差办事在这一块还算方便。', '短评打分': 5}
