{'短评内容': '舒服干净', '短评打分': 5}
{'短评内容': '舒服干净', '短评打分': 5}
{'短评内容': '舒服干净', '短评打分': 5}
{'短评内容': '很舒服干净', '短评打分': 5}
{'短评内容': '性价比高，无敌露天，就是太小了', '短评打分': 3}
{'短评内容': '交通方便，房间太小', '短评打分': 4}
{'短评内容': '位置不错，在凯宾斯基大酒店对面，但很难找，没有招牌，在居民楼里面。离甲秀楼和文昌阁都不远。设施比较差，没有单独的房卡给客人，只能找店主开门，另外卫生间和房间是通的，没有任何隔断，如果两人入住上厕所感觉很不方便，洗手间也没有窗帘，晚上洗澡都不敢开灯，感觉对面写字楼看里面一目了然的，不管对面楼房看不看得到我们房间感觉不私密，而且晚上睡觉对面荧光灯的光污染严重。还有就是管理比较混乱，第一天入住的晚上从十', '短评打分': 2}
{'短评内容': '位置不错，在凯宾斯基大酒店对面，但很难找，没有招牌，在居民楼里面。离甲秀楼和文昌阁都不远。设施比较差，没有单独的房卡给客人，只能找店主开门，另外卫生间和房间是通的，没有任何隔断，如果两人入住上厕所感觉很不方便，洗手间也没有窗帘，晚上洗澡都不敢开灯，感觉对面写字楼看里面一目了然的，不管对面楼房看不看得到我们房间感觉不私密，而且晚上睡觉对面荧光灯的光污染严重。还有就是管理比较混乱，第一天入住的晚上从十', '短评打分': 2}
{'短评内容': '出差多年，第一次订家庭旅馆，主要是因为地理位置好，办事方便。先说说好的地方，房间干净卫生，布置的也很温馨，如果是两个人住大小正合适，前台小哥是个暖男，态度特别好，对面就是凯宾斯基酒店，凯宾斯基的另一侧是一个商场，吃饭购物很方便，出门打车也很方便，酒店还是不错的。再来说说不好的地方，对于我来说，主要就两点，第一房间没有门卡，进出都是工作人员帮忙开门，有些麻烦，第二就是洗澡水了，唉，水压不行，水流太小', '短评打分': 5}
{'短评内容': '还好，值得入住', '短评打分': 5}
{'短评内容': '酒店风格不错，带露台喝荼聊天，居高临下看城市风景，房间还带木质浴桶。不足在于入口感觉差，普通陈旧的商业楼，不好找，早上退房时找不到小二，原来是打游戏太晚，手机调震动，怎么敲门打电话都沒搞醒他。年轻人，可以理解，呵，也说明是个适合睡觉的地方', '短评打分': 5}
{'短评内容': '很好，很舒服…', '短评打分': 4}
{'短评内容': '一般不好找，客栈经营，服务不错，小资一下', '短评打分': 4}
{'短评内容': '小资情调', '短评打分': 4}
{'短评内容': '酒店环境很好，很划算，就是有点不好找，地方太隐蔽了', '短评打分': 5}
{'短评内容': '到店很晚了，朋友先去的。夜景很好，房型有性格。', '短评打分': 5}
