{'短评内容': '不太满意', '短评打分': 3}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '实惠。好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '这应该是我住过的最烂的了 厕所竟然不能用 ', '短评打分': 2}
{'短评内容': '服务有待提升', '短评打分': 4}
{'短评内容': '总的来说还行吧', '短评打分': 4}
{'短评内容': '总体好行，就是房间比较小', '短评打分': 4}
{'短评内容': '离西湖相当近，门前有到西湖景区公交 ，交通方便，有停车位，但不容易抢到位置。后面游小吃一条街，价格相当实惠，也很好吃。', '短评打分': 4}
{'短评内容': '酒店服务不到位，处理问题不及时，明明开房的时候就可以提出来的问题，非要等到别人睡着了再来敲门说，还敲了不止一两次！房间还算清爽，不过没有吹风机，淋浴喷头是坏的，牙膏盖子也是拿掉的，要自己找尖锐的东西戳开来才能用！热水开关也是关着的，也要自己去把洗手盆下面的热水开关旋开才会有热水！', '短评打分': 3}
{'短评内容': '环境甭好', '短评打分': 5}
{'短评内容': '服务态度不怎么好！找前台借个吹风机还说没有！最终是送过来了，冷得够呛！', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '厕所太小，空调不好，别的也就一般般，不过毕竟就这个价格，比较挑剔的就不要来了', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '1. 交通位置不错，公交站就在十字路口（到市区和景点方便）\n2. 附近有个美食街，也还可以，价格实惠\n3. 就是没有FREE WIFI\n4. 卫生不怎样，床单发霉了', '短评打分': 3}
{'短评内容': '很差  服务差  空调差  后半夜不制冷  环境差 窗户有没有一个样子  洗漱的东西差  房间小的可怜', '短评打分': 1}
{'短评内容': '设施太简单了，卫生也不行，墙上都脚印。毛巾是破的。', '短评打分': 1}
{'短评内容': '还行，位置挺好的\n\n装修简单，干净整洁  下次来还会考虑入住  ', '短评打分': 5}
{'短评内容': '还行，就是设施有点简陋', '短评打分': 3}
{'短评内容': '酒店在装修,非常的炒.不过周边吃饭方便!!!!!', '短评打分': 5}
{'短评内容': '房卡啊都坏了，不过服务员态度还不错，位置相对还是不错的。距离警校和中医药大学比较近', '短评打分': 5}
{'短评内容': '酒店环境设施太一般了，整体给人的感觉不好。就是价格比较便宜，经济型嘛？', '短评打分': 1}
{'短评内容': '还可以，就是设备不是很齐全。酒店服务员很少，一个酒店早上起来退房就两个人，一个前台，一个服务员。没其他人了。', '短评打分': 5}
{'短评内容': '被子薄，空调效果不太好，冬天有点冷，设施简陋，只是卫生还好', '短评打分': 1}
{'短评内容': '一般，要说特别，就是房间付费产品齐全。。。', '短评打分': 1}
{'短评内容': '订的大床特惠房，188的，很不值这个价位，房间小，没有窗户空气比较闷。', '短评打分': 1}
{'短评内容': '该酒店的地理位置挺不错的，位于钱江一桥南侧，交通便利。唯一不足的是：隔音效果较差以及没有窗户。', '短评打分': 5}
{'短评内容': '类似青年旅社，仅仅是个能睡觉的地方。而且不便宜，建议大家不要选这家酒店。', '短评打分': 1}
{'短评内容': '空间有点小，晚上有蚊子，地点还可以，因为离钱塘江近', '短评打分': 1}
{'短评内容': '价格偏高。相比于同价位酒店，条件显得太简陋了。\n不过倒是比较安静，墙上的涂鸦挺有特点。\n离西湖比较远。', '短评打分': 1}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '跟同价位的连锁酒店比，不值这个价！房间简陋，而且还能听到隔壁居民区的人家洗碗的声音！', '短评打分': 1}
{'短评内容': '房间看起来很简陋，而且比较吵，淋浴的喷头还是坏的', '短评打分': 1}
{'短评内容': '酒店热水倒还好，就是刚进去的时候，一股药水味，后来通了一段时间风才稍微好一点', '短评打分': 1}
{'短评内容': '有史以来住的同价位最差的酒店！从下车进门开始，一股味道弥漫，无法形容，很难过。。。不过因为已经午夜了，我忍。。。\n进门后，服务员一个在看电视，一个在沙发上躺着睡觉，太不专业了吧。。。\n进了房间，还是味道。。。尤其是卫生间里的味道，实在是和马路边上的公厕差不多。。。\n这个床就差不多和直接睡钢丝床上差不多，连个垫褥都不放吗？？？\n开制冷空调，估计几年没清洗过了，味道已经无法形容了！\n前台人员服务态度感', '短评打分': 1}
{'短评内容': '太差！不推荐！', '短评打分': 3}
{'短评内容': '第二次住。。其他都不错，还是热水的问题，这次到不需要等半个小时才有热水了，但温度不稳定，一下冷掉，一下又很烫，根本没办法调到舒适的温度洗澡。。希望改进。', '短评打分': 5}
{'短评内容': '还是热水问题。。。如果是夏天还无所谓，天气这么冷，早上起来开个热水，放了半个小时才有点微热。。。晚上也差不多。浪费水资源不水。还给顾客造成困扰。。希望能改进下。。', '短评打分': 5}
{'短评内容': '不错。。经济实惠，就是热水出的实在太慢了。', '短评打分': 5}
{'短评内容': '这个价格的酒店差不多。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店整体配置很差，价格也不便宜，下次应该不会再这里住了吧', '短评打分': 1}
{'短评内容': '太简陋了，以后应该不会再入住了，这个价格应该可以找到好点的酒店', '短评打分': 1}
{'短评内容': '地理环境好，出行方便。住宿环境一般，隔音效果差。', '短评打分': 5}
{'短评内容': '还是很不错的！值得推荐！里面装修的很好！有性格 ', '短评打分': 5}
{'短评内容': '第一次入住这家酒店，跟同事们一起去的，以为像连锁式的酒店会实惠又好的，不过有点小失望，房间的装饰是挺有特色的，但过于简单了吧？觉得这个价格也有点贵了，总的来说很一般，没想象中的好', '短评打分': 1}
{'短评内容': '设施和服务都不错  周边买东西吃饭也挺方便  就是没有电梯比较郁闷', '短评打分': 5}
{'短评内容': '还不错...................................................', '短评打分': 5}
{'短评内容': '性价比很低，住宿环境一般，以后不会去了。', '短评打分': 1}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '＋比较满意，房间不错', '短评打分': 5}
{'短评内容': '很一般的一个酒店，设施也比较差。要求高的人千万不要入住。', '短评打分': 5}
{'短评内容': '感觉不值。没电梯，房间小，设施陈旧！位置还是不错的，没有专门的停车场，但是停车也还方便。', '短评打分': 1}
{'短评内容': '条件一般', '短评打分': 5}
{'短评内容': '觉得酒店环境一般', '短评打分': 5}
{'短评内容': '因为第二天要出发去千岛湖，特地找了这家位于一桥下的连锁酒店，酒店装修很有特色，各种涂鸦女朋友说像幼儿园，挺温馨的，我们住的是一间角上的房间，窗户非常宽，采光很好，环境清幽，房间也很干净，总体来说比较满意，性价比高', '短评打分': 5}
{'短评内容': '其它方面还好，只是房子隔音性能有点差，若隔壁的自觉性比较差的话会比较吵。总体来说，性价比还算可以。', '短评打分': 5}
{'短评内容': '对不起,刚才对尚代酒店的意见发表错了,应当是对米兰风尚城市酒店的评价,看错了.尚代酒店不错,安静,性价比高.', '短评打分': 3}
{'短评内容': '玻璃太多,不象宾馆,象是歌舞厅,不适合年龄大\\喜欢安静的人住,服务和卫生条件也不好.', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '还不错，房间比较新，性价比蛮高的，下次还会考虑。', '短评打分': 5}
