{'短评内容': '位置不错，服务还行', '短评打分': 5}
{'短评内容': '主楼在装修，周边环境差，酒店临时入门很不方便，房间有烟味，酒店内WlFl极差。酒店所处位置不错，方便。早餐一般。老牌宾馆应在各方面进行改进。', '短评打分': 3}
{'短评内容': '早餐不错', '短评打分': 5}
{'短评内容': '房间干净，床很舒服', '短评打分': 5}
{'短评内容': '干净整洁，安静舒服。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '非常不错，地理位置优越去那都方便', '短评打分': 5}
{'短评内容': '酒店不错，住着很舒服，推荐！', '短评打分': 5}
{'短评内容': '价格便宜，住的也舒服。', '短评打分': 5}
{'短评内容': '期待着看看与评价是否符合', '短评打分': 5}
{'短评内容': '酒店干净卫生，房间很好，出门外围景色也很好，是两江四湖游览的经过地。', '短评打分': 5}
{'短评内容': '酒店设施一般游泳池不行', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '房间很好，客房部服务极差', '短评打分': 3}
{'短评内容': '外形既时尚又大气  我很喜欢', '短评打分': 5}
{'短评内容': '光泽度好 还有芳香味 我很喜欢', '短评打分': 5}
{'短评内容': '超值！五星级的体验，京东优惠后变成三星级的价位，太划算了:)', '短评打分': 5}
{'短评内容': '酒店很好，早餐丰盛，前台服务也好，推荐，出门就是市中心，离象山公园1.1公里，很方便。', '短评打分': 5}
{'短评内容': '非常满意，地段好服务好', '短评打分': 5}
{'短评内容': '非常满意，地段好服务好', '短评打分': 5}
{'短评内容': '二期的房间还是不错的。酒店地理位置优越，服务员非常周到', '短评打分': 4}
{'短评内容': '价格划算', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '性价比很高，五星级酒店标准三星的收费，早餐很丰盛，空调很好，很舒适温暖。地理位置十分优越，出门就是榕湖景观带，离象山公园，独秀峰很近。', '短评打分': 5}
{'短评内容': '不错的酒店，非常nice的服务', '短评打分': 5}
{'短评内容': '周边环境很好，贵宾楼环境和设施不错。', '短评打分': 5}
{'短评内容': '替老人预定的，大家都非常非常的满意，无论是房间，设施，早餐，服务等，地点也绝佳，散步，购物也很方便。', '短评打分': 5}
{'短评内容': '预订的自助晚餐没有了，入住时也没有提醒，最后前台换成了中餐，这点不太好。', '短评打分': 5}
{'短评内容': '物超所值，五星级酒店三星收费，早餐很丰盛，空调很给力，住着温暖舒适。地理位置得天独厚，出门就是榕湖景区，离象山，独秀峰景区很近。离小吃一条街也很近，是这次出行最棒的酒店。', '短评打分': 5}
{'短评内容': '性价比很高，五星级酒店标准三星的收费，早餐很丰盛，空调很好，很舒适温暖。地理位置十分优越，出门就是榕湖景观带，离象山公园，独秀峰很近。', '短评打分': 5}
{'短评内容': '总体不错。', '短评打分': 3}
{'短评内容': '还可以，桂林住的三家中最满意的一家了 周边环境好 下楼就是榕湖景区布道了 桂林也不大 走走停停 很好 房间很安静 虽然是对着居民区 但不在乎景观 只是希望有个安静的睡眠环境 比那些在马路边的好太多 房间也够大 总之满意啦', '短评打分': 5}
{'短评内容': '地段还是不错的，房间一般，', '短评打分': 4}
{'短评内容': '位于两江四湖，周围景色漂亮，房间一般', '短评打分': 4}
{'短评内容': '酒店位置很好，早餐比较差，房间很小，阳台外面就是脏乱差。', '短评打分': 3}
{'短评内容': '很好,床特别舒服,还有游泳池,服务也很到位,干净,环境好,不愧五星标准.', '短评打分': 5}
{'短评内容': '酒店位置好 客房一般，大小不然一般的酒店大，但是服务好！', '短评打分': 5}
{'短评内容': '住的在贵宾楼九层双床房，房间够大，欧式装修很合心意，无线上网方便！对提出的问题酒店方非常的重视，服务热情，非常满意，谢谢', '短评打分': 5}
{'短评内容': '性价比还可以。', '短评打分': 3}
{'短评内容': '，环境不错，但房间就小点，没阳台。', '短评打分': 3}
{'短评内容': '房间比较干净，可以延长到14点结账。贵宾楼位于酒店后排，看不到湖，没景致。到中午11:00点以后，房间里酒店放的音乐响起，你无法关闭。呵呵，可能是为了催你结账的。', '短评打分': 5}
{'短评内容': '酒店的五星楼装修的很有品味！游泳池也感觉不错，总之这次的桂林之行玩的很开心！', '短评打分': 5}
{'短评内容': '房间风格很好, 服务不错, 值得推荐一下......', '短评打分': 5}
{'短评内容': '住的6楼双床房，相当满意，房间够大，欧式装修很合心意，上网方便，细节到位，出入方便，服务贴心，下次去桂林一定还住这里。', '短评打分': 3}
{'短评内容': '服务态度很好，房间也很新，周围环境还可以，逛街挺方便的', '短评打分': 5}
{'短评内容': '酒店很不错，很舒服。用的材料和装修风格能到5星标准。\n不过酒店的淋浴水温不太稳，洗澡的时候发现水温忽冷忽热。\n前台服务很热情，门口就是风景，下次来应该还会住。', '短评打分': 5}
{'短评内容': '地点很好，就在荣湖边，在南宁万豪住了两晚再来桂林宾馆住的，桂宾的早餐明显逊色，设施各方面都不错，就是早餐品种较少。', '短评打分': 5}
{'短评内容': '房間內裝修不錯  我們一共訂了三間房二個晚上 但只有其中一間有迎賓水果 而且三個房間安排的離很遠 完全不符合五星酒店作風  還有一晚我們住香格里拉 服務比這裡好太多了 國際五星和中國五星在服務上還是有很大的差距', '短评打分': 5}
{'短评内容': '裝修歐式風格很不錯 但設備其實有點山寨五星  椅子一坐輪子就掉了 整體不錯', '短评打分': 5}
{'短评内容': '已经入住服务很好', '短评打分': 3}
{'短评内容': '房间不错, 设施很全很好! 亮点是房间内有无线网, 很方便...', '短评打分': 5}
{'短评内容': '房间内有无线，很方便。房间装修很新，颜色也是我喜欢的，特别是卫生间。总之，不错！', '短评打分': 3}
{'短评内容': '地方就在两江四湖旁边，位置很好。贵宾楼是新楼，装修的很不错，咔咔。', '短评打分': 5}
{'短评内容': '桂林非常有名的酒店，位置好，服务员态度尤其好，早餐丰富。', '短评打分': 5}
{'短评内容': '酒店服务还不错，设施也还算新。自助早餐离五星标准就差多了。', '短评打分': 5}
{'短评内容': '虽然价格很贵（刚好有会议），但房间装修欧式，很富丽堂皇，只是房间小了点。', '短评打分': 5}
{'短评内容': '服务环境都不错', '短评打分': 3}
{'短评内容': 'about in average, quite convenient from the lake though', '短评打分': 5}
{'短评内容': '地理位置尚可，硬件不错，大堂气派，房间比较宽敞，有泳池，见不少老外在游泳，服务态度好。', '短评打分': 5}
{'短评内容': '餐饮水平有待提高，地里位置和服务不如喜来登，泳池只有1.4米深，总体来看还是达不到五星', '短评打分': 3}
{'短评内容': '相当可以！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！111', '短评打分': 5}
{'短评内容': '酒店的床挺舒服的，服务也还可以的。特别要说一下的是酒店里面的旅行社，这个旅行社应该是酒店承包出去的，不是酒店的，服务非常差。我们和他们定了两江四湖的船票，他们比外面的贵，但是还不包括交通费。我们定了去阳朔的自助餐豪华船，提前两天定的，结果到了出行的前一天晚上9点钟，告诉我们没有安排到自助餐的船，只有拼桌的那种了。非常令人气氛。本来是答应专车送到码头，也成了和大家拼车了。感觉就是收了钱，服务就一降再', '短评打分': 5}
{'短评内容': '环境幽美，早餐丰富，员工服务热情很高，但贵宾楼进出就有点不方便转来转去的。', '短评打分': 1}
