{'短评内容': '酒店还比较干净，相对比较实惠！', '短评打分': 5}
{'短评内容': '干净卫生', '短评打分': 5}
{'短评内容': '酒店服务一级棒，下次出差再订', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '还不错还不错', '短评打分': 5}
{'短评内容': '一般般吧！', '短评打分': 5}
{'短评内容': '还算干净，交通也不错，总体服务比较好！', '短评打分': 5}
{'短评内容': '酒店环境不错，服务员态度很好，房间比较整洁。', '短评打分': 5}
{'短评内容': '好好好好好好', '短评打分': 5}
{'短评内容': '不错。一直都是这。', '短评打分': 5}
{'短评内容': '不错。', '短评打分': 5}
{'短评内容': '老客户了，长期。不错。价格合理，安全，舒适。', '短评打分': 5}
{'短评内容': '好想你了，我的人是你自己不知道自己在别人面前笑的很惨', '短评打分': 5}
{'短评内容': '很好。', '短评打分': 5}
{'短评内容': '不错。很好！', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '很不错的房间，住的舒服，房间网络非常棒，干净，离地铁站不远，出行方便，酒店早点只能用将就形容，吃饱没问题，吃好还差点，但是酒店周边有几个饭店真心不错。', '短评打分': 5}
{'短评内容': '很不错的房间，住的舒服，房间网络非常棒，干净，离地铁站不远，出行方便，酒店早点只能用将就形容，吃饱没问题，吃好还差点，但是酒店周边有几个饭店真心不错。', '短评打分': 5}
{'短评内容': '整个酒店还是不错的', '短评打分': 5}
{'短评内容': '到前台告诉没房了！我都付款了，让我退款。哎，服了！经过半小时沟通，给了2间单人间，避免了两个男人睡一头的尴尬。', '短评打分': 5}
{'短评内容': '蛮不错的。', '短评打分': 5}
{'短评内容': '总体来说还是不错的', '短评打分': 4}
{'短评内容': '有点破旧，但服务周到，交通便利', '短评打分': 4}
{'短评内容': '设施良好，空调良好，服务人员态度好，办理手续速度快。餐厅干净。交通好。', '短评打分': 4}
{'短评内容': '位置好，便于搭乘高铁', '短评打分': 4}
{'短评内容': '环境不错，房间够大，早餐够味，双人商务房！', '短评打分': 4}
{'短评内容': '空调不出暖气，住一晚就感冒了', '短评打分': 4}
