{'短评内容': '很好，满意', '短评打分': 5}
{'短评内容': 'high哈哈哈哈哈哈', '短评打分': 5}
{'短评内容': '特别好，方脸和蔼可亲', '短评打分': 5}
{'短评内容': '房间满意1', '短评打分': 5}
{'短评内容': '老板很好，位置满意', '短评打分': 5}
{'短评内容': '不好，这个价钱真不值，而且宾馆下面卖东西都特贵，好想今天卖完了明天不卖一样，卫生条件一般，根本找不到前台，都是那些跟日租房一样的，不适合房宾馆，艺龙返现也没反，假的，不推荐去，要去还是住一下正式的酒店', '短评打分': 3}
{'短评内容': '服务周到、环境卫生。', '短评打分': 3}
{'短评内容': '还可以，老板态度不错', '短评打分': 3}
{'短评内容': '住宿环境还是不错的，老板人挺好，退房之后还给寄存了东西', '短评打分': 3}
{'短评内容': '离海边较近，价格马马虎虎吧', '短评打分': 3}
{'短评内容': '家庭旅馆，离海不算太远，环境还可以，内部条件一般，自备洗漱用品，价格不贵，这个价格就算不错了，老板也挺好，退房晚一些也没有加价。', '短评打分': 4}
{'短评内容': '宾馆位置非常好，距离海边顶多5分钟路程。房间内很干净，特别是床单被罩都是一客一换的，没有一点味道什么的。稍微有点不足的，就是卫生间也许地漏没做好，味道有点大。', '短评打分': 5}
{'短评内容': '看评价不错才选的，可实在太一般！女店主还好，接我们还帮着提箱子。男店主让帮着延长半个小时都要算钱。', '短评打分': 4}
{'短评内容': '物美价廉', '短评打分': 3}
{'短评内容': '简直是太满意了，环境虽然比不是4 5星级宾馆，但是同等价位的房间，这家应该是数一数二的，很干净，也很舒适，离海边很近，附近有夜市，大排档，吃饭非常方便，而且老板人很好，由于人多，多定了一间房，两间都很满意。这次出行非常开心，下次还住这儿。', '短评打分': 5}
