{'短评内容': '太差了，空调都不开放，我很不高兴，', '短评打分': 1}
{'短评内容': '酒店为繁华地段，靠近火车站、中心汽车站，服务、环境佳，有免费洗漱用品，房间内还有体重称，早餐丰盛的很。', '短评打分': 3}
{'短评内容': '酒店位置繁华，靠近火车站、汽车站等地，卫生、服务都很好，还贴心的加了被子，早餐丰富多样，有停车场的了。', '短评打分': 4}
{'短评内容': '哎哟不错哦', '短评打分': 5}
{'短评内容': '携程所标榜的豪华酒店居然连空调都没。最先告诉我几小时修好之后在我再三催促下索性说修不好了呵呵。快捷酒店都比这舒服。不推荐。去天门山玩的话地理位置还是蛮方便。', '短评打分': 2}
{'短评内容': '空调温度调不上来，服务员态度差，环境差，图片和实物不服。', '短评打分': 1}
{'短评内容': '京东订酒店方便快捷，下次继续选择京东', '短评打分': 5}
{'短评内容': '酒店就在天门山索道站边上，窗口就可以看到上下的索道！中央空调设置就是摆设估计是酒店设置好的晚上才有感觉中午基本只是排风的样子！早饭还可以，主要还是离索道近总体来说还凑合！', '短评打分': 5}
{'短评内容': '房间干净，漂亮，早餐丰富。服务好。', '短评打分': 5}
{'短评内容': '很好，舒服，高大上', '短评打分': 5}
{'短评内容': '环境好，房间卫生好，住的便宜，也很舒适，早餐也比较好，值得推荐。 ', '短评打分': 5}
{'短评内容': '出行方便中端消费。', '短评打分': 4}
{'短评内容': '离天门山索道非常近', '短评打分': 5}
{'短评内容': '设施不错，房间宽敞', '短评打分': 5}
{'短评内容': '和缆车很近，附近就有饭店。一楼有表演看，可惜时间不够没看成。', '短评打分': 4}
{'短评内容': '酒店不错', '短评打分': 5}
{'短评内容': '离天门山索道很近，酒店服务还不错，房间还蛮干净的，就是周围饭店有点少，需要走点路', '短评打分': 4}
{'短评内容': '卫生??环境一般酒店服务??设施旧', '短评打分': 3}
{'短评内容': '哎，这家本土酒店还是不怎么样，房间太小了', '短评打分': 4}
{'短评内容': '不知道该怎么说，无语。', '短评打分': 3}
{'短评内容': '凑合，唉。', '短评打分': 3}
{'短评内容': '经济实惠，环境不错！！', '短评打分': 5}
{'短评内容': ' 酒店的位置很好，但酒店内的硬件没有那么好，每一条毛巾都有点破旧了', '短评打分': 3}
{'短评内容': '缺点：我住的是高级单人间，是在电梯口，询问前台，居然说酒店单人间只有这一种房型，都是在电梯口。房间面积较小，硬件设施一般。', '短评打分': 1}
{'短评内容': '很好。', '短评打分': 3}
{'短评内容': '酒店的房间和早餐都还不错，就是大堂服务员工作时的状态相对比较随意。', '短评打分': 5}
{'短评内容': '非常不错', '短评打分': 3}
{'短评内容': '舒服温馨', '短评打分': 3}
{'短评内容': '房间的卫生设施不是很好房间也在电梯边上特别吵，位置还好也是去机场接的，前台的服务还行，只是酒店的价格和里面环境设施不是太匹配。', '短评打分': 1}
{'短评内容': '酒店的位置还是比较好找的，房间设施卫生都很不错。因为也是国庆节价格还是偏贵了，服务态度还行。', '短评打分': 5}
{'短评内容': '酒店的位置还行离机场还是挺近的，说是挂牌四星但是感觉还是差了一些里面的环境整体看确实和四星还是有些区别，服务还可以，价格的话在当地还不错。', '短评打分': 5}
{'短评内容': '+服务热诚，地理位移不错，早餐丰富', '短评打分': 5}
{'短评内容': '酒店在张家界来讲是一家不错的酒店.综合性价比还是蛮高的,而且各方面也很到位.', '短评打分': 5}
{'短评内容': '房间干净，卫生，设施完善，服务到位，性价比很好。', '短评打分': 5}
{'短评内容': '位置不错挺方便出行的.不过卫生和硬件设施上略显不足.住起来感觉不是很舒服.', '短评打分': 1}
{'短评内容': '酒店位置很方便，距离机场和车站都很近，早餐品种多，口味好。', '短评打分': 5}
{'短评内容': '整体感觉很不错的酒店，房间干净，设施完善，性价比蛮好，下次还会入住。', '短评打分': 5}
{'短评内容': '四星级的酒店，马马虎虎吧，就西餐厅的气氛好一些。', '短评打分': 3}
{'短评内容': '这家酒店的大堂有些陈旧了，房间里还可以了，房间打扫的挺干净，设施方面也比较齐全，比较新，感觉还比较舒适，酒店的位置离机场比较近，周边交通还比较方便的，价格方面还算比较合适的。', '短评打分': 5}
{'短评内容': '还算比张家界国际大酒店新一点，房间设施不怎么样，餐厅的装修比较温馨。', '短评打分': 5}
{'短评内容': '房间小的可怜，都怀疑是不是套房', '短评打分': 1}
{'短评内容': '酒店非常温馨,就是外面公路有点闹,房间设施还有待完善,毕竟是五星级嘛!', '短评打分': 5}
