{'descr': '位置方便服务热情', 'star': 5}
{'descr': '服务好，态度好！', 'star': 5}
{'descr': '经常来，挺好的', 'star': 4}
{'descr': '就是还不错，因为我每个礼拜都来，多的不说了', 'star': 5}
{'descr': '一般般', 'star': 5}
{'descr': '很棒，住过的最好的如家之一，下次来还会来这里住！', 'star': 5}
{'descr': '很好，很不错！！！', 'star': 5}
{'descr': '住过的如家 这家酒店的房间算比较大的 价格相对便宜 方便 总体不错', 'star': 5}
{'descr': '价格实惠，环境也不错，服务态度也很好。', 'star': 4}
{'descr': '挺好的，拖鞋可以不用一次性的，太不方便了', 'star': 5}
{'descr': '还不错', 'star': 5}
{'descr': '不错，下次还会选它。周围比较方便', 'star': 5}
{'descr': '不错。。。。。交通便利，购物方便', 'star': 5}
{'descr': '随便住住，就是房间离餐厅太近，早上吵', 'star': 4}
{'descr': '环境卫生、交通便利、价格适中、停车方便。', 'star': 5}
{'descr': '挺好的，方便！', 'star': 5}
{'descr': '还是可以，周边较为繁华，地点很好，服务也不错！', 'star': 5}
{'descr': '酒店早歺少的可怜，还要15元门口修路，交通不方便。', 'star': 3}
{'descr': '酒店位置好,吃住较为方便.\n酒店内部干净,居住舒适.', 'star': 5}
{'descr': '还不错，服务热情，就是很多房间没有面向空旷地带的窗户', 'star': 5}
{'descr': '带窗户的房间不错，没来暖气时有点冷，服务质量还行', 'star': 5}
{'descr': '房间很小，布局如迷宫一样，不知道如何通过消防验收的。\n早餐很垃圾。', 'star': 1}
{'descr': '酒店环境干净整洁，感觉真好。', 'star': 3}
{'descr': '酒店大厅环境不错，房间未来无暖气的几天冷，性价比一般,结账方式不灵活', 'star': 5}
{'descr': '酒店大厅环境不错，房间未来无暖气的几天冷，性价比一般', 'star': 5}
{'descr': '酒店总体不错，房间设施还行，早点一般，性价比一般，', 'star': 5}
{'descr': '酒店房间不错，性价比不高，没暖气时有些房间太冷，服务效率有待提高', 'star': 5}
{'descr': '房间很大,环境也安静。交通便利,不错,推荐  ', 'star': 3}
{'descr': '很好', 'star': 3}
{'descr': '酒店的设施还算一般，但这次入住发现卫生间的气味特别难闻，弄的满屋子都是下水道的气味。虽然与酒店前台反应后，也只是在卫生间点了檀香来压一下气味，而且窗户也不透气，只得整晚开着换气扇和空调。崩溃……', 'star': 1}
{'descr': '很好', 'star': 3}
{'descr': '酒店干净整洁，环境不错，较舒适，价格有点偏高', 'star': 5}
{'descr': '很干净如家的风格', 'star': 3}
{'descr': '离杨村很近，办事方便，房间一般，都没窗户', 'star': 5}
{'descr': '和你能见到的如家几乎是一摸一样，但是在武清又没什么酒店可选\n酒店的楼下是KTV，住了4天，几乎每天都有情侣或野鸳鸯去开房，办事还不关窗，整栋楼都能听见ML时的叫声。\n整栋楼里面的走廊时七拐八拐的，很容易迷路\n最后建议住如家的朋友，要自备防滑拖鞋，我就是在出洗澡间是滑了一跤，腰疼了一个星期才好', 'star': 1}
{'descr': '武清似乎就没啥可住的宾馆，这个只能说对得起它的价格。', 'star': 5}
{'descr': '各项服务条件都不错。但是屋内宽带上网时，网页总是打不开，无法正常浏览网页。', 'star': 5}
{'descr': '各项服务条件都不错。但是屋内宽带上网时，网页总是打不开，无法正常浏览网页。', 'star': 5}
{'descr': '没有对外窗户，同类房间有大有小，大的还比较宽敞。', 'star': 5}
{'descr': '没有对外窗户，同类房间有大有小，大的还比较宽敞。', 'star': 5}
{'descr': '酒店整体感觉很好，服务卫生都很达标，出行也比较方便，值得推荐。', 'star': 5}
{'descr': '酒店整体感觉很好，服务卫生都很达标，出行也比较方便，值得推荐。', 'star': 5}
{'descr': '环境很好，安静干净，设施也齐全，周边交通也挺便利的，感觉挺不错。', 'star': 5}
{'descr': '环境很好，安静干净，设施也齐全，周边交通也挺便利的，感觉挺不错。', 'star': 5}
{'descr': '卫生很好，房间一尘不染，打扫的相当干净。', 'star': 5}
{'descr': '卫生很好，房间一尘不染，打扫的相当干净。', 'star': 5}
{'descr': '酒店很不错，房间很干净，空调，电视，都有，还能上网，住的挺划算的。', 'star': 5}
{'descr': '酒店很不错，房间很干净，空调，电视，都有，还能上网，住的挺划算的。', 'star': 5}
{'descr': '房间太小，而且装修味道很大。楼上房间太多了，导视做得很差。再也不会上这个店去住了。另外，还一个劲儿的忽悠我办如家的会员卡。', 'star': 1}
{'descr': '房间太小，而且装修味道很大。楼上房间太多了，导视做得很差。再也不会上这个店去住了。另外，还一个劲儿的忽悠我办如家的会员卡。', 'star': 1}
{'descr': '晚上隔音效果差，无法保障旅客睡眠质量，没有窗户，房间内还没有wifi，总体上不满意，可能地理位置的关系，无心改善服务', 'star': 2}
{'descr': '晚上隔音效果差，无法保障旅客睡眠质量，没有窗户，房间内还没有wifi，总体上不满意', 'star': 2}
