{'短评内容': '物所不值，和影响中的不一样，贪个路近方便，咋会这样', '短评打分': 5}
{'短评内容': '蛮干净的，有机会再来。', '短评打分': 5}
{'短评内容': '真的很不错', '短评打分': 5}
{'短评内容': '房间还不错，周边环境也还好，不过酒店毕竟是有点年头了，还是有点点老的，但这个价格也还可以了的，性价比还算不错的。', '短评打分': 4}
{'短评内容': '房间还不错，周边环境也还好，不过酒店毕竟是有点年头了，还是有点点老的，但这个价格也还可以了的，性价比还算不错的。', '短评打分': 4}
{'短评内容': '房间还不错，周边环境也还好，不过酒店毕竟是有点年头了，还是有点点老的，但这个价格也还可以了的，性价比还算不错的。', '短评打分': 4}
{'短评内容': '大门地板全部掀起来装修网吧酒吧休闲会所都在一起，乱特意选择了早餐选项，7点开始，740进去吃都还晾着怀疑是不是剩的，早餐所有东西加一起不到10样不会再来', '短评打分': 3}
{'短评内容': '京东酒店性价比不错，还能用券和打白条，下次预订酒店还会用京东。酒店不错，地理位置极佳（罗蒙乐园对面），这个价位性价比高。', '短评打分': 5}
{'短评内容': '真的给赞，价廉物美！', '短评打分': 5}
{'短评内容': '那就是卡卡卡卡卡卡卡脚后跟反反复复个号浩杰就看看看看看看..', '短评打分': 5}
{'短评内容': '这个价位一般了，房间也一般，早餐也太简单', '短评打分': 1}
{'短评内容': '很好的环境', '短评打分': 5}
{'短评内容': '性价比不错 价格OK 还有设施有点老 地方不错', '短评打分': 4}
{'短评内容': '办理入住后，一进房间居然地上有一只穿过的黑袜子，让服务员拿走，服务员还问是不是我的，我也真是无语了！', '短评打分': 3}
{'短评内容': '就在银泰环球城对面非常方便，平时的价格比较合适，出行也很方便，有很多公交车路线到达鄞州区中心和宁波市中心，打车或者自驾出行也很方便。', '短评打分': 4}
{'短评内容': '就在银泰环球城对面非常方便，平时的价格比较合适，出行也很方便，有很多公交车路线到达鄞州区中心和宁波市中心，打车或者自驾出行也很方便。', '短评打分': 4}
{'短评内容': '比较老了', '短评打分': 4}
{'短评内容': '订的商务房，价格合适，但不包含早餐。需要额外付15元吃早餐，早餐比较简单。', '短评打分': 5}
{'短评内容': '很适合出差旅游入住，对面就是商城购物。环境干净，噪音少。', '短评打分': 5}
{'短评内容': '电视不能用 其他还行', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '有免费早餐，免费矿泉水，很干净，行政套房房间超大。', '短评打分': 5}
{'短评内容': '环境还蛮好的吧，就是太远了，都进村了啊，根本不是紧邻万达啊，忽悠死人了！！', '短评打分': 5}
{'短评内容': '性价比高。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '房间按4星装修，但管理较差，房间卫生不好，就是价格低。另外38元一份的早餐太差了', '短评打分': 5}
{'短评内容': '1)酒店设施等还可以\n2)价格也还合理的\n3)就是位置有些偏,没车的话不是很方便', '短评打分': 5}
{'短评内容': ' 房间挺不错的、只是位置有点偏.. 性价比挺高的啦..该有的都有.. 要不是位置不好也不会这么便宜嘛..', '短评打分': 3}
{'短评内容': '酒店位置比较偏，但是很安静，适合商务出差的人士。房间很干净，设施也比较完善！', '短评打分': 5}
{'短评内容': '性价比还行，大床房蛮宽敞的，就是卫生间小了点', '短评打分': 5}
{'短评内容': '住过那么多酒店，这家酒店的酒店定价比最低了！\n刚到达酒店的时候前台工作人员冷冷的，连一个职业性微笑也没有！\n订的是贵宾大床房，刚打开房门就一股气味像是封闭了很久，那么冷的天我只好自己打开窗户通风了近一个小时！\n房间设施比较简陋，地毯很脏，尤其卫生间特别小，床很硬。\n一开始上不了网的时候打电话给总台说他们只有一个网管，那天还请假了，够呛，幸亏最后能上网了！\n第二天上午去吃早餐也是很失望的，种类少得可', '短评打分': 1}
{'短评内容': '位置较偏，不好打车。硬件一般，没有什么特色，性价比一般。服务员很热情，但专业程度实在有别于有名的管理公司。', '短评打分': 1}
{'短评内容': '房间很干净，卫生间小了点，新开业还算不错', '短评打分': 3}
{'短评内容': '这是一个神奇的酒店，豪华但感觉无比冷清的大堂，形同虚设的门童和礼兵服务。远离市区，很难搭出租车， 位置偏僻，甚至可以看见不远处绿油油的麦田。更神奇的是， 房间里用的是挂机空调！！ 噪音很大。 硬件设施不好。 还不如价格更便宜的类似莫泰168 ， 汉庭如家等商务酒店。', '短评打分': 1}
{'短评内容': '酒店环境尚可，但进门的车道被堵上了，出租车进出不方便，服务水平一般，早餐尚可，周边餐饮丰富，总体位置还可以，无中央空调。', '短评打分': 5}
{'短评内容': '房间还可以,我住的房间电视不可以看,早饭不怎么样,价格不便宜也不贵', '短评打分': 5}
{'短评内容': '房间干净整洁 环境比较安静。适合居住，价格实在~', '短评打分': 5}
{'短评内容': '云龙镇的唯一选择。房间非常干净，值得推荐。', '短评打分': 5}
{'短评内容': '酒店装修很新,新开张不久,周边配套几乎没有,打的不方便. 房间内部还不错,就是气味比较浓', '短评打分': 1}
{'短评内容': '前台服务一般，停车场较小，对面是工地，是个小区的公寓楼。\n房间尚可，早餐很一般。', '短评打分': 5}
{'短评内容': '不错的地方', '短评打分': 3}
{'短评内容': '太远了，房间不大，但前台很热情。下次不会入住，性价不高。卫生间小。', '短评打分': 1}
{'短评内容': '满意', '短评打分': 3}
