{'短评内容': '服务态度很好，设施齐全，干净整洁，安全，网络稳定，水流大。', '短评打分': 5}
{'短评内容': '服务态度很好，网络稳定，水流大，安全，布局合里。', '短评打分': 5}
{'短评内容': '服务态度很好，设施齐全，干净整洁，网络稳定，水流大。', '短评打分': 5}
{'短评内容': '服务态度很好 设施齐全，干净安全，网络稳定', '短评打分': 5}
{'短评内容': '服务态度很好，设施齐全，安全，整洁，网络稳定。水流大。', '短评打分': 5}
{'短评内容': '还算行吧，至少感觉 还算干净，7天一直都在他家住在外面', '短评打分': 5}
{'短评内容': '挺好，性价比还是比较好', '短评打分': 5}
{'短评内容': '标准房很干净 房间不小  交通环境都很好', '短评打分': 5}
{'短评内容': '不知道为啥订单变成了测试了&hellip;&hellip;好奇怪', '短评打分': 5}
{'短评内容': '帮家人预定，还算满意，酒店的位置不错，价格可以接受，连锁经济酒店，不能要求太多，干净，方便就可以了。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '好享受', '短评打分': 5}
{'短评内容': '.....好', '短评打分': 5}
{'短评内容': '还不错吧！当时周围在修路，显得有点乱', '短评打分': 5}
{'短评内容': '很好，很好.....', '短评打分': 4}
{'短评内容': '感觉威海的七天酒店都很一般啊，我住了三家七天了，都不怎么样……', '短评打分': 3}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '设施老化，特价房隔音效果特别不好，感觉就是在走廊里睡觉一样', '短评打分': 2}
{'短评内容': '很好，不错吧。。。。。。。。', '短评打分': 3}
