{'短评内容': '很好，很划算。网购比较方便。很好，很划算。网购比较方便。很好，很划算。网购比较方便。很好，很划算。网购比较方便。很好，很划算。网购比较方便。很好，很划算。网购比较方便。', '短评打分': 5}
{'短评内容': '干净舒适，价格合理，服务不错。', '短评打分': 5}
{'短评内容': '不错哦，第一次订房成功，越来越喜欢京东了。', '短评打分': 5}
{'短评内容': '很好很不错的呢，非常不错非常赞的喔。喜欢的呢。', '短评打分': 5}
{'短评内容': '很好很不错的呢，非常不错非常赞的喔。喜欢的呢。', '短评打分': 5}
{'短评内容': '不错哦，京东越来越好，订房快。', '短评打分': 5}
{'短评内容': '环境比较一般，有股火锅味', '短评打分': 3}
{'短评内容': '什么都好', '短评打分': 5}
{'短评内容': '特别好，赞', '短评打分': 5}
{'短评内容': '挺好的，服务很不错，赞赞赞赞赞赞。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '帮朋友订的 很喜欢住这家店 推荐', '短评打分': 5}
{'短评内容': '赞赞赞 ', '短评打分': 5}
{'短评内容': '跟重庆的七天优品没法比哦', '短评打分': 3}
{'短评内容': '不错不错不错不错', '短评打分': 5}
{'短评内容': '环境还好，服务也还好，设施也还好', '短评打分': 4}
{'短评内容': '七天是越做越差了，住了差不多一个星期，刚开始一两天还搞下卫生，到后来连卫生都不搞了，女生头发长，掉的头发都不收拾，更可恶的是洗手盆都不擦一下。。。沐浴露没有了也不加，纸杯没有了也不加，前提是我早上出去的时候特意交代了前台的！！！！wifi也差，视频别想打开，空调也是坏的，我开了30度结果冷的晚上睡不着还得把衣服盖在上面当被子用。。。如果不是懒得搬东西，第二天绝对换啊。唉。。。', '短评打分': 3}
{'短评内容': '不错不错不错不错', '短评打分': 5}
{'短评内容': '不错不错不错不错', '短评打分': 5}
