{'短评内容': '好得很，晚上老板等着', '短评打分': 5}
{'短评内容': '十分温馨，服务好！', '短评打分': 5}
{'短评内容': '古朴的院落，小小的吊椅，躺下就像世界都静下来，慢下来了。在这里老板就像在自己的亲人，出行、食宿、游玩都可以放心的交给他，不说一定是全丽江古城最好的，但一定是舒适，安心的。在丽江古城很好的选择很好。', '短评打分': 5}
{'短评内容': '酒店位置出行方便，住宿卫生，服务周到，老板人好！', '短评打分': 5}
{'短评内容': '老板人很好，环境也不错', '短评打分': 5}
{'短评内容': '这家客栈环境非常非常好的，有一种古色古香的味道。老板也非常的热情，从带我们逃票，帮我们安排交通车，非常热情的请我们喝茶聊天。我们住的是一套复式套房，价格合适，而且环境非常好，这里强烈推荐。', '短评打分': 5}
{'短评内容': '外部环境非常好，安静，院子很漂亮，老板服务态度也好，唯一不足的是卫生间没有窗户，不透气，有点味道', '短评打分': 5}
{'短评内容': '外部环境非常好，安静，院子很漂亮，老板服务态度也好，唯一不足的是卫生间没有窗户，不透气，有点味道', '短评打分': 5}
{'短评内容': '位置不错挺安静的在古城边上', '短评打分': 5}
{'短评内容': '老板热情，环境古朴又清新怡人，价格实惠，我会再来！', '短评打分': 5}
{'短评内容': '老板人不错，热情好客。客栈有只好大只的萨摩耶。真的好大只 。喜欢狗狗的朋友可以选择这间客栈。', '短评打分': 5}
{'短评内容': '房间相对而言还是很棒的，就是木质材料有点冷，但是有空调', '短评打分': 4}
{'短评内容': '老板人特别好，，去拉市海玩的时候还提醒我们带帽子，把客栈备的帽子借给我们！ 早餐的大米粥熬得相当好！', '短评打分': 3}
{'短评内容': '环境不错 老板热情', '短评打分': 5}
{'短评内容': '环境挺好，房间不是很大，但这个价位还算值', '短评打分': 3}
{'短评内容': '很好很好很有特色  ，，，，，，，，，，，，', '短评打分': 1}
{'短评内容': '啥也不说了  很好  都很好     ，，，，', '短评打分': 5}
{'短评内容': '很棒  环境很好  老板也很好\n，，，，，，，\n\n', '短评打分': 5}
{'短评内容': '客栈很不错  老板人很好  房间很 干净   100分', '短评打分': 5}
{'短评内容': '开始还以为评论少，不敢定，去了就完全满意了，在军哥家住的很开心，房间很温馨，服务也到位，地理位置也好，到四方街，酒吧街，小吃街一会会就遛到了，家里还有只大萨摩尼莫，每天和大家玩的开心极了呢~军哥军嫂阿姨人都很好，早餐也很给力，因为我们北方人，吃的比较多 ，无限量供应我们，都不好意思了呢~我们住了好几天都舍不得离开了。大家可以大胆的选择哟 ，真的很好。。', '短评打分': 5}
{'短评内容': '很棒的一家店 这里的装修有家的味道 院子里可以晒着太阳看书聊天 处处都透着温馨和细致 硬件设施完全合格 老板和老板的娘都特好 热情又好玩 他家有只超可爱的萨摩 通人性还不吵闹 各方面都很满意 下次来还住这里！', '短评打分': 5}
{'短评内容': '老板人很好，客栈很温馨，阿姨做的早餐很不错哦。老板泡的普洱不错，害的我回来去外面喝茶都喝不惯了。有机会还会回去的，还要找老板再给我邮寄点茶叶啊。', '短评打分': 5}
{'短评内容': '酒店干净，有特色，还配有电脑。地理位置不错，老板人很好，很热情，推荐的石锅鱼也很好吃', '短评打分': 3}
{'短评内容': '哈哈，客栈老板和老板娘人非常不错，还有尼莫，客栈的环境和客房的环境也非常的棒！', '短评打分': 5}
{'短评内容': '哈哈 君哥原谅我不懂要回来点评啥的来晚了 恩 在天域阳光住着像家一样 特别开心 去了这么多人 一起吃烧烤 一起喝酒 还吐得你们那乱七八糟得军哥都没有生气 嘿嘿 你是好人～～～ 恩 还有军哥的樱桃酒好喝诶～ 还有还有mino～～ 她太兔太懒了 恩 下次来丽江会再来的 ', '短评打分': 5}
{'短评内容': '环境不错 老板 还有小妹人都很好   家里有只漂亮的  萨摩耶 ', '短评打分': 5}
{'短评内容': '酒店设施很好内部专修也很浪漫，在这里住的很休闲，老板娘也很好，这里可以办理很多业务。', '短评打分': 5}
