{'短评内容': '很好非常方便', '短评打分': 5}
{'短评内容': '房间不是很干净，墙壁有点发霉，空气也不好。睡了一晚感觉身子痒，怀疑床单不干净！房间设施比较陈旧，地理位置也一般。也就是价格比较低，不推荐这家酒店！', '短评打分': 2}
{'短评内容': '总体评价四星', '短评打分': 5}
{'短评内容': '酒店比较老旧了，设施也都不算太新。这段时间酒店外面正在改造，所以停车很不方便，进来的路比较窄。酒店最好的地方就是离深圳最大的软装市场艺展城非常近。酒店出门拐弯两分钟就是艺展城，如果是要过来艺展城出差或者采购的，那么住这里的确是非常方便。', '短评打分': 3}
{'短评内容': '还行，吃饭方便，服务挺热情，房间标准。', '短评打分': 4}
{'短评内容': '离食街比较近，有很多特色饭店，也有沃尔玛超市，购物也比较方便。地铁基本修好了，周边建筑栏杆还没拆除，五楼在装修，白天有点边', '短评打分': 4}
{'短评内容': '涨价了，五楼在装修比较吵。靠近吃街', '短评打分': 4}
{'短评内容': '周围修地铁真不方便。但服务还算可以', '短评打分': 3}
{'短评内容': '门口施工，找酒店的门找了很久，内部设施较旧，前台服务态度一般。', '短评打分': 3}
{'短评内容': '门口施工，找酒店的门找了很久，内部设施较旧，前台服务态度一般。', '短评打分': 3}
{'短评内容': '还不错，可以试一试，空间大', '短评打分': 3}
{'短评内容': '挺好的，有窗户的话', '短评打分': 5}
{'短评内容': '还行吧。。。就是没电脑', '短评打分': 5}
{'短评内容': '环境不错，比较舒适，这价位十分划算。就是味道有点大~', '短评打分': 5}
{'短评内容': '除了为了办事的方便，没有其它好说。。。。。。', '短评打分': 5}
{'短评内容': '相比这个价钱，酒店硬件设施算很好的，唯一不好的是，没有小窗户，衣服没地方晾', '短评打分': 3}
{'短评内容': '性价比高，要求不高的话还l能将就着住，下面的自助还行', '短评打分': 5}
{'短评内容': '酒店位置不错，房间设施也不错，但是没有窗户', '短评打分': 1}
