{'短评内容': '环境不错，就是房间小', '短评打分': 5}
{'短评内容': '酒店是很不错的，出差北京的首选，但是对于供应商只能说去你mb，给我订个大床房，tmd有病吧，让大堂小妹果断换，下次还是用spg', '短评打分': 5}
{'短评内容': '房间还不错的', '短评打分': 5}
{'短评内容': '很好很不错', '短评打分': 5}
{'短评内容': '早餐很好，环境很舒服，离公司的位置也很静，服务员服务很周到，要是房间有剃须刀供应可能感觉会更好一点吧', '短评打分': 5}
{'短评内容': '酒店位置离地铁站较远，北京出租车在交通高峰时又易堵车。房间很干净，布置合理，但浴室比较小，只有淋浴间没有浴缸.', '短评打分': 4}
{'短评内容': '不错的酒店，环境优雅，服务热情，就是停车不太方便，没有专用停车场，酒店房间干净整洁，设施也挺好的，下次再住这酒店', '短评打分': 5}
{'短评内容': '房间干净舒适', '短评打分': 5}
{'短评内容': '早餐和广州分店比较差很多 有待提高 暖气太热', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '总体不错', '短评打分': 5}
{'短评内容': '喜欢。刚住的时候有点冷没有暖风，要等北京市供暖 然后酒店经常满房。中间换了酒店。服务好 早餐棒不错 值得推荐', '短评打分': 5}
{'短评内容': '很不错的四星级商务酒比较实惠店，价格不贵，', '短评打分': 4}
{'短评内容': '这个酒店不错的，酒店内设施不错', '短评打分': 5}
{'短评内容': '很有特色的酒店，干净、简洁。适合商务出行', '短评打分': 5}
{'短评内容': '虽然是亚太区第一家雅乐轩酒店，但是住的很满意（房间干净，床和枕头也很舒服）。', '短评打分': 4}
{'短评内容': '浴帽浴袍没有就算了，洗澡水又凉又小也忍了，空调开一晚还是23度，是和隔壁四季青医院共建了吗？', '短评打分': 2}
{'短评内容': '房间不错床挺舒服的，就是被子不是被罩的只是两张单子铺上的，哎总是跑来跑去。', '短评打分': 5}
