{'短评内容': '质量好，送货快，一直信赖京东的品质！', '短评打分': 5}
{'短评内容': '早餐还行，位置很方便，出差经常住，有窗户的房间住着更好一些，性价比很高，周围也方便，吃饭的地方蛮多，超市就在对面', '短评打分': 5}
{'短评内容': '价格便宜，设施还可以', '短评打分': 5}
{'短评内容': '早餐不错，楼下停车看运气，一般能停。房间设施满意。', '短评打分': 5}
{'短评内容': '房间里设施很好，服务态度也很好', '短评打分': 5}
{'短评内容': '感觉服务生态度挺好的！一次不错的住宿！', '短评打分': 5}
{'短评内容': '还不错，房子挺干净的的，还不错。', '短评打分': 5}
{'短评内容': '还行吧、', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '最不好的是很多是到店支付，在线支付还贵一点，携程这样做不合适啊', '短评打分': 5}
{'短评内容': '啦啦啦啦啦啦啦啦啦啦', '短评打分': 5}
{'短评内容': '不错吧，帮别人考试而预订的。', '短评打分': 4}
{'短评内容': '还可以吧，离城南客运站挺近，公交四站路就到了。', '短评打分': 4}
{'短评内容': '酒店不大，服务设施一般，我住的那间房间有股味道，不咋滴', '短评打分': 3}
{'短评内容': '房间大，就是空调效果不好', '短评打分': 3}
{'短评内容': '还行吧', '短评打分': 5}
{'短评内容': '商务工作入住该旅店，在旅游城市的西安性价比还不错。', '短评打分': 4}
{'短评内容': '空调是一大毛病。大热天的，空调不好使，怎么住人啊。还中央空调，按半天没反应，有反应了半天不冷。好不容易冷了一会，然后又不运转了，崩溃！！！叫人来修，那人也不会。说去叫人来，一去不回。无奈换个房间，还是一样的情况。狂晕！！！！\n小酒店随便一个空调都比这个好用。\n另外窗帘遮光效果差，白天很亮。前台结算很慢！', '短评打分': 1}
{'短评内容': '成功入住，含早，价格能接受', '短评打分': 3}
{'短评内容': '本来订的是大床，不知怎么成标间了？', '短评打分': 3}
{'短评内容': '国庆期间住了六天。花园房，带一个大阳台，但阳台植物水池都没有好好打理，可惜！\n房间的隔音效果很差，隔壁办喜事闹新房，害得我一夜没睡好。\n交通比较方便，吃饭很方便。\n', '短评打分': 5}
{'短评内容': '酒店不错，听宽敞的，还有一个喝茶的小坐台，非常舒服。不过酒店有点小，早餐内容太少了。段时间住住还可以。', '短评打分': 5}
{'短评内容': '酒店环境挺好，服务也挺周到的，交通也挺便利', '短评打分': 5}
{'短评内容': '住宿和就餐还算行，停车也还可以。值得一住。', '短评打分': 3}
{'短评内容': '虽然是旅游城市的宾馆，但是其性价比一般般……', '短评打分': 1}
{'短评内容': '住的大床房，条件一般，免费的早餐太难吃了，各方面都没有宣传的好', '短评打分': 1}
{'短评内容': '我订了花园房,花园比较简单，服务不错,早餐是我经历中最一般的', '短评打分': 3}
{'短评内容': '房间还不错，干净、整洁。早餐有点简单，种类少，晚去的话剩下就不多了。', '短评打分': 5}
{'短评内容': '酒店的地理位置尚可，房间面积较大，性价比较高，卫生和服务可以。美中不足的是早餐质量较差。\n', '短评打分': 5}
{'短评内容': '小花园不错，3楼的按摩也不错，挺好的，但是感觉收拾房间不及时，东西有点脏，5楼烧烤超难吃，中央空调各种垃圾，热死了，早餐也不好吃！', '短评打分': 5}
{'短评内容': '还算可以吧\u3000房间挺干净', '短评打分': 3}
{'短评内容': '帮朋友订的，朋友看房后觉得不错,性价比高！', '短评打分': 5}
{'短评内容': '总体来说还是可以的。前方施工啊，实在是怨念的绕路全是泥。酒店设施什么的都可以。', '短评打分': 5}
{'短评内容': '酒店用紅色內飾真是讓人哭笑不得。以前可能是桑拿。半夜有電話來。哈。裝修標準是肯定不夠3星。非常一般的酒店吧。', '短评打分': 1}
{'短评内容': '这哪里是酒店？这是单间麻将室。地上脏的进不了门，毛巾黑乎乎的不敢用。居然叫什么花园酒店。用太差都不能表达。太恶心了。', '短评打分': 3}
{'短评内容': '太恶心了。这哪里是酒店？这是麻将室单间。房间地脏的无法下脚，毛巾黑乎乎不敢用。', '短评打分': 5}
{'短评内容': '不错的酒店，离曲江会展很近，5层的花园房很好，可惜就是双床的，而且床有点太硬了，床垫的弹簧感觉很明显，整体来讲绝对是超值了', '短评打分': 5}
{'短评内容': '感觉宾馆设计还不错，性价比还可以，但由于5楼的烧烤，感觉楼上到处充满了烧烤味，希望改进。', '短评打分': 5}
{'短评内容': '结账时听到旁边要入住客人标房房价只有178，极度不平衡，ELONG价格228', '短评打分': 1}
{'短评内容': '房间设施比较好 而且房间大 两天住了两个房间布局都不一样 很现代。就是位置不太好早，不过价格很合适。另外早餐不太好可能是唯一美中不足的，早餐收餐票的很乱，感觉降低酒店的标准。建议在门口收票更合理点，而不是边收早餐票边发盘子好像客户都是难民一样。另外早餐品种太少而且量少，很多人抢着吃。\r\n不过 我下次来 还是会住的，因为房间确实够大够舒适，而且很现代感。', '短评打分': 5}
{'短评内容': '房间装修味道太大', '短评打分': 5}
{'短评内容': '卫生挺干净，房间挺温馨，面积挺大，服务态度满意。', '短评打分': 5}
{'短评内容': '房间外有屋顶花园感觉很不错，另外还有屋顶烧烤，一直吃喝到半夜，呵呵~', '短评打分': 5}
{'短评内容': '酒店的性价比挺好的，综合条件都很不错。', '短评打分': 5}
{'短评内容': '酒店的设计风格多元化，设施配置不错的酒店。', '短评打分': 5}
{'短评内容': '房间有不同的风格，环境设施配置都比较好。', '短评打分': 5}
{'短评内容': '酒店的配套设施全，像是餐饮味道什么的都还不错。', '短评打分': 5}
{'短评内容': '酒店的地理位置挺好的出行交通都非常方便。', '短评打分': 5}
