{'短评内容': '差差差差差差差差差差', '短评打分': 1}
{'短评内容': '还行 比较可以', '短评打分': 4}
{'短评内容': '住了多次的酒店，也点评了多次。房间光线较暗，时间久了房间有味，早餐就是稀饭咸菜加馒头。主要是到客户很近，方便。', '短评打分': 4}
{'短评内容': '环境好', '短评打分': 5}
{'短评内容': '房间有些老了，总有一点臭味的感觉，房间光线不足感觉较阴暗，床垫这次感觉比以前硬些了，睡一觉腰不会那么疼痛。以前的太软，腰椎病都睡出来了。希望都换成硬的床垫。', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店味道有点大  通风不好  有个阳台还打不开  房间灯光暗', '短评打分': 3}
{'短评内容': '交通便利，房间大，设施齐全，推荐入住。', '短评打分': 4}
{'短评内容': '好评', '短评打分': 5}
{'短评内容': '环境不错，晚上睡觉比较安静。设施也比较齐全！', '短评打分': 3}
{'短评内容': '早饭种类少，太一般', '短评打分': 5}
{'短评内容': '空间比较大，房间设施也不错，干净、整洁、安静，唯一不足的是花洒水太小，水温较低；吃饭、打车都需要走一段距离。', '短评打分': 3}
{'短评内容': '环境不错，服务好，不足之处就是一楼茶房打牌的人耍太晚回房间大声喧哗影响其他客人休息。', '短评打分': 3}
{'短评内容': '不错不错不错不错不错', '短评打分': 3}
