{'短评内容': '很好', '短评打分': 5}
{'短评内容': '位置在兴坪码头对面，要坐船过去，环境还可以，老板也提热情，在老板家的啤酒鱼好吃，就是停车费太贵了，因为放车码头，开不进老板家，其实如果自己开车的，直接导航兴坪码头，不然会走远很多路', '短评打分': 5}
{'短评内容': '位置比较偏，需要渡江才能住上，有点小麻烦。老板态度比较强硬，其他还好。', '短评打分': 3}
{'短评内容': '挺好的，漓江边', '短评打分': 5}
{'短评内容': '很好，老板人也很好', '短评打分': 5}
{'短评内容': '酒店在一座岛上！环境可以！不过设施不是很新了！房间价格还行！还算实惠吧！他家的饭菜只能说一般！还偏贵！', '短评打分': 4}
{'短评内容': '还凑活吧！但是服务不好，订的双床，去了却没有，只有大床房，还不能加被子，饭也挺坑，西红柿炒鸡蛋再加一个炒野菜就49.', '短评打分': 4}
{'短评内容': '第二次来了，老板态度一如既往的热情，住宿条件还可以，不能称很好，但过得去，最主要住的开心。这次小孩发烧不放心，提早走了很遗憾。下次再来。', '短评打分': 5}
{'短评内容': '酒店的地理位置不大理想的，因为要摆渡过去，渡船到晚上19点就不开了，酒店周边又没有别的饭店（酒店有早中晚餐供应，但想吃别的食物就得出外购买的），所以晚饭比较凑紧的，吃完赶紧买了东西就赶渡船去了。个人觉得就这点不好。村庄里很静谧，行程不赶得可以考虑入住的，老板一家人都很热情。', '短评打分': 5}
{'短评内容': '客栈位于兴坪镇小渔村的，在里面住很悠闲，可以到漓江边看山、水、竹筏、水鸭、鸬鹚、小孩游泳……白天坐轮渡到兴坪镇逛古镇、吃啤酒鸭/黄焖鸡/田螺、骑自行车/坐电瓶车/步行到九马画山、坐公车到阳朔县逛西街，住在这里可闹可静。如果晚上到兴坪镇可以打电话给老板，他会到码头接。老板一家吃苦耐劳，勤劳致富，很令人钦佩！', '短评打分': 5}
{'短评内容': '房间干净整洁，老板厨艺较好，晚上休息比较安静', '短评打分': 3}
{'短评内容': '在兴坪码头对面的小岛上，正对着老寨山。标间有阳台很加分，清早开门见山！房间里虽然没什么设施，但挺干净的，总体感觉不错。老板家的院子里种了一些花花草草，晚上八点请他开船接我们也欣然答应了，挺好。', '短评打分': 3}
{'短评内容': '在半岛上，比较宁静。老板自家有农家菜，价格不高。周边可以直接下漓江玩水。特别适合一家人居住。因为是十一价格比较贵，估计大家都一样，另外房间有虫子，希望老板能够改善一点。总体来说很推荐这家酒店，老板人好。', '短评打分': 3}
{'短评内容': '挺不错的，吃住在一起挺方便的。', '短评打分': 3}
{'短评内容': '房间比较干净，老板娘烧的鸡比较不错，小鱼仔也不错，已经是第二次入住该家酒店。', '短评打分': 3}
