{'短评内容': '就是实惠，别的还好，马路上一直很吵，睡觉的时候床板在震', '短评打分': 5}
{'短评内容': '还不错、设备齐全  服务周到  只是在睡觉的时候感觉床在震动，有点小纠结', '短评打分': 5}
{'短评内容': '荒郊野岭，周边环境不好。酒店卫生……一般般……', '短评打分': 3}
{'短评内容': '整体还行，比较实惠，就是房间地板有点破，可能是个别吧。', '短评打分': 5}
{'短评内容': '比较吵杂，不适合喜欢安静的人。。。。。。。。。。。。', '短评打分': 1}
{'短评内容': '还不错，价格公道，如果是去宁波大学考试的，这家很方便，服务也不错。但是如果是去宁波市玩的，那可能就有点偏远。周围吃的和超市不是很多。', '短评打分': 5}
{'短评内容': '同个价格的酒店里算不错的了', '短评打分': 3}
{'短评内容': '不错，实惠，环境也好', '短评打分': 3}
{'短评内容': '总体来说，性价比还是不错的。服务也不错，我充电器落在房间了，服务员帮我快递回来的。不错。', '短评打分': 5}
{'短评内容': '还好吧，尤其去宁波大学考试！宾馆设施太简单了，不过楼下餐厅海鲜挺好！', '短评打分': 5}
{'短评内容': '为了孩子考试去住的，离宁波大学近方便，尤其对海鲜市场很鲜！只是位置太偏了！', '短评打分': 5}
{'短评内容': '宾馆还不错，服务也很好。', '短评打分': 3}
{'短评内容': '我觉的不错就是离公路太近了吵的慌', '短评打分': 3}
{'短评内容': '离考试地点宁波纺织技术学院两站路的距离，公交站台就在酒店的马路对面。但是环城北路上都是物流公司，我住3楼，一晚上车就没间断过，窗子也不够隔音，有点失眠。建议住到不靠马路的一边比较好，房间价格还可以，设施也都还好，不提供早餐的。不过桌上的两瓶水是收费的，附近餐饮什么很少，建议事先准备好，免得考试一早饿肚子。', '短评打分': 5}
{'短评内容': '房间很干净，离考试地点很近，对面就是公交站牌。就是有点吵。', '短评打分': 5}
{'短评内容': '挺好，单间满意', '短评打分': 3}
{'短评内容': '价格等各方面还行，公交车站就在门口，会比较方便。就是周围环境稍微差了点。', '短评打分': 5}
{'短评内容': '房间很好就是靠马路太进车声太大', '短评打分': 3}
{'短评内容': '房间还算干净就是车声太大了', '短评打分': 3}
{'短评内容': '以这个价位来看，酒店还算可以。不过2002房间床铺靠墙的地方非常潮湿，建议不要住这个房间。酒店周围没有什么建筑、商店，比较冷清，只有马路对面一条小巷里有几家小吃店和超市，感觉不够便利。', '短评打分': 5}
{'短评内容': '已经是第三次来了\n每次考日语都会来这里  离宁大比较近的\n价格合理 服务周到', '短评打分': 5}
{'短评内容': '很好。。但是有时候网络不好。。。而且没有电脑。。。', '短评打分': 5}
