{'短评内容': '朋友说还可以', '短评打分': 4}
{'短评内容': '有停车场好', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '还好，性价比不错', '短评打分': 4}
{'短评内容': '酒店不错，感觉是刚刚装修的，设施都是新的，第二次住这个酒店了。位置也好找，以后通了地铁位置应该更方便！', '短评打分': 5}
{'短评内容': '酒店房间不错，很干净', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '酒店房间超可爱的，孩子们都很喜欢', '短评打分': 5}
{'短评内容': '酒店房间超可爱，适合亲子游', '短评打分': 5}
{'短评内容': '挺好的主题酒店。适合带家里的小朋友来住。', '短评打分': 5}
{'短评内容': '重要的事情说三遍，多蚊子，很多蚊子，超级多蚊子，一晚没睡好。', '短评打分': 3}
{'短评内容': '这个酒店的原名为今天酒店，大家多半会被网上的原亚特兰亲子酒店给误导。我们进店的时候就跟酒店前台建议过，但不知道他们会不会联系携程进行更改。建议大家如果想要订动物园旁边那家亲子酒店的话先打电话跟酒店确认下。酒店总体还是可以，儿童乐园还是不错的，大而且新。宝宝们玩的挺开心。', '短评打分': 4}
{'短评内容': '酒店非常干净，环境也非常不错', '短评打分': 3}
{'短评内容': '不错的酒店，装修挺有特点', '短评打分': 3}
