{'短评内容': '位置很偏僻，设施很老旧', '短评打分': 3}
{'短评内容': '地点过于偏僻，但是附近晚上有宵夜吃，酒店环境真是简陋简陋在简陋，价格合理！', '短评打分': 2}
{'短评内容': ' 感觉还不错，房间设置挺温馨的，但再添加个与桌子配套的凳子就好了。', '短评打分': 3}
{'短评内容': '性价比非常高，房间还都有窗户，设施稍微陈旧，但对得起这个价格了。\n交通很便利，出门走几步就有BRT，吃饭不太方便。', '短评打分': 5}
{'短评内容': '性价比非常高，店员服务态度很好，感觉不错。     \n出门交通非常方便。吃饭不是很方便。', '短评打分': 5}
{'短评内容': '酒店环境很一般，毕竟价格到那里了，不过展会期间有巴士接送...', '短评打分': 1}
{'短评内容': '先看了房后决定要订的。标准双人间，价钱便宜，房间很宽敞，热水，毛巾，床单都很干净。\n电视遥控器没电了，服务阿姨主动给换了一个新的。服务很好。\n地毯式地板。', '短评打分': 5}
{'短评内容': '应该之前是一家招待所，性价比不高，门口好像公寓的牌子还遗留着，没电梯，地砖，基本无装修，但床是新的，睡得还舒服，所处的小路有沙县小持吃店，因为经常到对面骏景食街吃饭，第二天起干脆搬到那边酒店，价格一样装修豪华', '短评打分': 1}
{'短评内容': '太难找了\n从路上根本看不到酒店的牌子，找地方用了一个多小时', '短评打分': 1}
{'短评内容': '阴森森的~~~~隔音效果不好~~~~~~卫生条件也一般', '短评打分': 1}
{'短评内容': '交通很方便，卫生条件还不错，床也比较舒适，价格便宜，推荐入住！', '短评打分': 5}
{'短评内容': '我订的是特价房，主要看中性价比不错，但是设施比较陈旧，老化。', '短评打分': 5}
{'短评内容': '服务不错，不足之处是周边环境不佳，房间卫生条件有待改善。', '短评打分': 5}
{'短评内容': '虽然有一些设备设施不尽如人意，但是总体来说性价比和周边环境还不错。', '短评打分': 5}
{'短评内容': ' 酒店地址不符，环境很差。前面在施工，一早噪音就很大。', '短评打分': 3}
{'短评内容': '交通好就是没得说的，隔壁吃东西很好，唯一不好就是厕所！', '短评打分': 5}
{'短评内容': '价格挺合理的，房间也挺干净，可能是刚装修完吧，交通也很方便，前台也很热情，下次还会继续住。', '短评打分': 5}
{'短评内容': '酒店的周边环境比较安静，性价比也好，特别是入住时间比较弹性，不必担心车的到埠时间。', '短评打分': 5}
{'短评内容': '房间性价比还可以，就是空调不够凉。好在入住和退房时间比较有弹性。\n', '短评打分': 5}
{'短评内容': '酒店的设施很简单，位置不好找。转了好半天才找到。但是酒店人员的服务态度还不错。', '短评打分': 5}
{'短评内容': '不错的服务\u3000下次还会来', '短评打分': 3}
{'短评内容': '性价比比较高，不过位置不大好。没有早餐。', '短评打分': 5}
{'短评内容': '房间还可以，希望以后继续完善服务，说好的有早餐麦当劳一份送，结果没有给，很不爽。', '短评打分': 5}
{'短评内容': '距离中山大道有几十米远，倒是挺安静的，路口就有BRT，交通也方便。房间设施也还行，这个价格不错了，前台服务态度不错。', '短评打分': 5}
{'短评内容': '里面的设施简陋，浴巾看起来脏脏的对不起这个价格，不过工作人员挺不错。', '短评打分': 3}
{'短评内容': '外观真的不咋地...但是里面住着还行.卫生各方面都ok!', '短评打分': 1}
{'短评内容': '位置并不在主干道上，不太好找，房间不小，但装修旧了点，设施也有点旧，但还算干净吧，总体上来说还是对得起这个价格的。', '短评打分': 5}
{'短评内容': '就是性价比好一点，房间的装修比较旧，设备也比较陈旧，竟然连电视都看不了。隔音也很差，在房间里都可以听得到走廊走路的声音。', '短评打分': 5}
{'短评内容': '环境恶劣 ，，，，，，，，，，,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,', '短评打分': 1}
{'短评内容': '价格比较适中，睡眠环境还可以。只是1.冷气不够凉，2.房间隔音效果比较差，3.周围的配套设施比较少。', '短评打分': 5}
{'短评内容': '服务挺好的，就是房间里面装修太过简单', '短评打分': 3}
{'短评内容': '价格还可以，住宿环境也挺好的，就是太偏了，找了半天才找到，另外，人工服务太少，早上都没有叫醒！', '短评打分': 5}
{'短评内容': '周围的睡眠环境不错，服务也还可以，就是装修有点旧。', '短评打分': 5}
{'短评内容': '环境太差了，简直就是一个地道的黑旅店嘛！网络不通，卫生间水龙头与马桶整夜都在滴水，而且门窗墙壁隔音效果太差！再也不去住了！', '短评打分': 1}
{'短评内容': '＋很好', '短评打分': 3}
{'短评内容': '不错    蛮好    就是装修不够漂亮                                           ', '短评打分': 5}
{'短评内容': '价格合理，环境安静，隔音也不错，交通方便，BRT尽在咫尺。', '短评打分': 5}
{'短评内容': '满意度', '短评打分': 3}
{'短评内容': '性价比不错，环境还可以，服务态度也过得去。', '短评打分': 5}
{'短评内容': '价钱也就将就了，最可恶的是不能刷招行卡，用工行卡也不能预授权，只接受现金抵押，隔天再退钱，不知是服务员业务水平低还是酒店的问题，按道理能用信用卡的地方就能预授权啊，如果没带现金不就惨了？？', '短评打分': 5}
{'短评内容': '酒店外貌似乎有点陈旧，里面还可以。就是位置不好连吃饭难找，楼下只有小炒店面，不卫生。连商场都没有。', '短评打分': 3}
{'短评内容': '很好很好很好很好很好很好很好很好很好很好很好很好', '短评打分': 5}
{'短评内容': '酒店环境卫生都很差!比起三星差远了,豪华单人间都是骗人的,就象普通的小旅馆,以后再也不住了!', '短评打分': 3}
{'短评内容': '房间够宽敞。挺舒服。不错。就是那个送的早餐比较差，面包一个，不是M记/K记。', '短评打分': 5}
{'短评内容': '酒店的环境还行，房间里面卫生还可以，就是地理位置还是有些偏僻，服务态度还不错，价格还算比较合适。', '短评打分': 5}
{'短评内容': '酒店整个感觉很简陋，房间空间倒是挺大的就是楼梯原先的工厂改造过来房间设施也很简单，也没有早餐，服务员很少，酒店的位置也不好找离大马路还是有段距离，周边环境也很差，价格其实不是很贵但是对应酒店硬件设施环境真的挺不值。', '短评打分': 1}
{'短评内容': '酒店交通还比较方便只是位置不是街道很难找，服务是挺好的就是房间打扫的不是太干净，价格还行吧但是应该可以再便宜些。', '短评打分': 3}
{'短评内容': '酒店很偏，档次太低了', '短评打分': 3}
