{'短评内容': '不错不错，出差首选。', '短评打分': 5}
{'短评内容': '好好好试试', '短评打分': 4}
{'短评内容': '感觉老旧拉！', '短评打分': 3}
{'短评内容': '酒店地处闹市区，交通很方便，酒店条件老点，但还不错，服务很好，早餐也还好。', '短评打分': 5}
{'短评内容': '合肥良苑大酒店位置优越。位于合肥市老城区的芜湖路和徽州大道交叉口，距包河公园仅五百米。可饭后散步和锻炼身体的好去处！酒店早餐丰富！服务员认真热情周到！房间布局合理！性价比高，值得推荐！', '短评打分': 5}
{'短评内容': '环境不错，条件挺好，星级服务经常入住。', '短评打分': 5}
{'短评内容': '环境不错，停车方便', '短评打分': 5}
{'短评内容': '很不错的酒店，早餐强大。', '短评打分': 5}
{'短评内容': '还挺好，舒服，宽松，位置优越。', '短评打分': 5}
{'短评内容': '还是蛮不错的，够大够干净。', '短评打分': 5}
{'短评内容': '房间设施有点陈旧了，床很大，两个床拼的，早餐不错', '短评打分': 5}
{'短评内容': '酒店地理位置很好，方便！设施陈旧了一些，早餐不错。', '短评打分': 5}
{'短评内容': '服务不错～入住两天，第一天送了酸奶，第二天送了香蕉～还不错', '短评打分': 4}
{'短评内容': '很不错，地理位置很不错，早餐很好，就是房间设施老旧了，服务态度佳', '短评打分': 5}
{'短评内容': '不错的酒店，设施有些老化，地理位置很不错，服务热情，早餐很好！', '短评打分': 5}
{'短评内容': '该酒店位于合肥市中心，交通便捷，打车方便。该酒店服务员的服务很好，很体贴。该酒店也很干净，很卫生。建议选择。', '短评打分': 4}
{'短评内容': '不错的酒店，干净整洁。', '短评打分': 5}
{'短评内容': '非常好的酒店，方便', '短评打分': 5}
{'短评内容': '房间有些小', '短评打分': 4}
{'短评内容': '还行', '短评打分': 1}
{'短评内容': '感觉跟我住过的三星没啥区别，就是价格高点', '短评打分': 5}
{'短评内容': '出差合肥，离工作地点很近，周围吃饭也很方便，早餐还行，风景不错，单人房正适合我，下次还住这里', '短评打分': 5}
{'短评内容': '老酒店了，因为开会才定在这里，装修很旧了，风格也很老，感觉还停留在20年前，位置很好，热闹地段，靠市中心，车位比较紧张。', '短评打分': 4}
{'短评内容': '满意，就是房间水果牛奶没有配了!?', '短评打分': 4}
{'短评内容': '该酒店位于合肥市中心，地理位置优越，交通便捷，打车方便。边上还有个环城公园，挺好的，晚上可以去散散步。', '短评打分': 4}
{'短评内容': '    酒店就在市中心，东距离包公祠、宁国路小吃街步行15分钟左右，距离淮河路步行街20几分钟，酒店门口就有公交车，但比较难打到出租车。酒店内部陈设和其星级评价比较相符，非常贴心的有市内地图、旅行手册和黄页可以利用。我就利用地图和手册在市区内逛了逛，非常好用。晚上酒店赠送新鲜水果盘和报纸一份。餐厅在酒店高层，可以环视市内，观景较佳。\n   ', '短评打分': 5}
{'短评内容': '干净整洁', '短评打分': 3}
{'短评内容': '地点位于市中心主干道，服务很好，每晚赠送果盘和睡前牛奶，房间虽然不大但是布置精致舒适。', '短评打分': 5}
{'短评内容': '住过很多次了，感觉挺好的……位置方便，房间还算干净……', '短评打分': 5}
