{'短评内容': '房东的态度超级不错。。 位置也不错 。。 下次来还会去', '短评打分': 5}
{'短评内容': '还蛮舒服的，就是位置不好找，最后是酒店的人来接的，不过停车要钱，一晚上20。', '短评打分': 5}
{'短评内容': '餐厅不错，像家。服务态度不错，房间也很好，就是有点难找', '短评打分': 5}
{'短评内容': '房间太小，服务态度不好。靠路边，很吵。性价比很低。', '短评打分': 1}
{'短评内容': '早餐实惠，阿姨做的小馄饨很好吃。周边各种设施很全。属于性价比较高的酒店。', '短评打分': 5}
{'短评内容': '还行吧，老板很热情，还有免费早餐，早餐还算能吃呵呵。', '短评打分': 5}
{'短评内容': '早餐是家常口味的，服务员很热情。住的很舒服，从阳台望出去，心情超爽。周遍吃饭和购物很方便。', '短评打分': 5}
{'短评内容': '服务员很热情，出入时都会问好而且很真诚，决不是形式上的问好。早餐还可以。酒深也怕巷子深啊，确实是不太好找到。上网速度比较快。', '短评打分': 5}
{'短评内容': '酒店不错，就是不太好找，提供早餐，老板娘亲自做了热干面，很热情', '短评打分': 5}
{'短评内容': '服务很好， 阳台不错，厕所太小 地板有些陈旧，床很舒服。\n', '短评打分': 5}
{'短评内容': '酒店有个阳台，但是不能把阳台落地床全部打开（可能出于安全考虑）。房间整洁，去餐厅也比较方便（就同1层楼）。', '短评打分': 5}
{'短评内容': '已经是N次入住了，今后有需要还会预订该酒店的！！！', '短评打分': 5}
{'短评内容': '已经是第三次入住贵酒店了，值得信赖！早餐有待改善！', '短评打分': 5}
{'短评内容': '一般吧 还行，服务还可以 阳台不错，厕所太小 地板不亮， 稍微有点小，床很软 呵呵', '短评打分': 5}
{'短评内容': '不错！有家的感觉！早餐可以按你的需要可以现场做，中晚餐也可以！有需要下次还会定这家酒店！', '短评打分': 5}
{'短评内容': '酒店服务态度很好，给人回家的感觉。装修也不错。就是机顶盒坏了，美中不足。下次还会光顾！', '短评打分': 3}
{'短评内容': '服务态度很好，房间比较宽敞，住起来很舒适', '短评打分': 5}
{'短评内容': '酒店房间够大，空调一般还有响声，不是有电话，酒店有点难找！', '短评打分': 5}
{'短评内容': '很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好', '短评打分': 5}
{'短评内容': '服务很好，。房间也很干净。很有家的感觉~~~~~~~~~~~~~~~~~···············', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '房间还行装修不错，价格还是可以接受。服务态度还不错。', '短评打分': 3}
{'短评内容': '房间布置的不错，服务热情，床睡的很舒服。', '短评打分': 5}
