{'短评内容': '服务好，入住送早餐，下次再来。', '短评打分': 5}
{'短评内容': '地理位置不错，就在步行街旁边，去外滩也很方便', '短评打分': 5}
{'短评内容': '新年除夕夜去的，本来想看外滩的灯光秀，结果去的晚了路封了。但是酒店位置非常好，地铁出来就到，七楼的房间窗外景色也不错，酒店街对面就是大量的小吃店，总体而言，不错。', '短评打分': 5}
{'短评内容': '比较方便，也安静，就是比较小', '短评打分': 4}
{'短评内容': '地理位置很好紧邻南京路步行街！', '短评打分': 5}
{'短评内容': '地理位置很好紧邻南京路步行街！', '短评打分': 5}
{'短评内容': '离地铁和步行街近，小吃多，非常方便。', '短评打分': 3}
{'短评内容': '交通挺方便的', '短评打分': 3}
{'短评内容': '刘美寒7月7日已入住上海南京饭店', '短评打分': 3}
{'短评内容': '很方便，离南京东路步行街，也就30多米，离地铁站有50米吧。门前街对面都是小餐馆，很安全（隔外滩公安派出所），很安静（住的客房是不临街的一面）。', '短评打分': 5}
{'短评内容': '房间很一般，有点旧，没有照片上的好，就是位置还比较方便。', '短评打分': 1}
{'短评内容': ' 南京饭店出行很方便，出门转弯就到地铁站。房间小了点儿，不过闹中取静，还不错。', '短评打分': 3}
{'短评内容': '酒店的地理位置没得说很好！', '短评打分': 3}
{'短评内容': '老饭店。管理比较正规，房间比较干净。交通非常方便，就在南京路上，因而有点吵。', '短评打分': 5}
{'短评内容': '地理位置极好，一出门就是南京路，地铁就在旁边。\n酒店设施挺好，就是当天床头是坏了的，晃来晃去，床单有点硬，水龙头声音大了点...\n总体来说挺好的，以后有机会来回来的。\n', '短评打分': 5}
{'短评内容': '位置太好了，下次还来，就是价格便宜点就好了', '短评打分': 3}
{'短评内容': '价格算不错了在这个位置，就是有点陈旧，上网收费最要命。', '短评打分': 5}
{'短评内容': '地理位置很好，价格适当。是旅游和观光购物是比较好的酒店。', '短评打分': 5}
{'短评内容': '地理位置和购物吃渴非常便利 由98年第一次到上海已经住这间酒店到现在 地铁到两个机场也非常的便利 以后到上海还是住这里！', '短评打分': 5}
{'短评内容': '比想象中的好  房间蛮大的 外面还有阳台 地段更是别提了 离南京路超近 交通便利 逛街方便 去外滩也很近  总之是很好的地方 值得选择', '短评打分': 5}
{'短评内容': '，南京饭店位置很好，就是三百元的房间有点小，空气不流通，不过总体还可以吧。', '短评打分': 3}
