{'短评内容': '没有早餐 不能加床  位置不好找', '短评打分': 4}
{'短评内容': '酒店位置离北站北广场就一站路，比较方便，卫生也可以。老板娘服务态度很好。虽然房间小但很干净！！！！！！！', '短评打分': 5}
{'短评内容': '便宜不好货吧', '短评打分': 3}
{'短评内容': '一点都不好', '短评打分': 1}
{'短评内容': '辣鸡      偏僻  看起来还不安全   无法协商  辣鸡  看起点都不安全', '短评打分': 1}
{'短评内容': '额，国庆节出去玩，价格是贵了好多', '短评打分': 3}
{'短评内容': '太一般', '短评打分': 3}
{'短评内容': '老板人很好,', '短评打分': 5}
{'短评内容': '别去 跟招待所差不多', '短评打分': 1}
{'短评内容': '房间不大，老板态度还可以，电脑不怎么样，空调也不怎么暖和，整体上来说，对于没有高要求的人还是将就。', '短评打分': 3}
{'短评内容': '宾馆老板人不错，但是十一黄金周人实在是太多了，宾馆位置靠近重庆北站南广场，位置和设施均一般，考虑到价格还可以，总体性价比还行。', '短评打分': 3}
{'短评内容': '老板人特热情，但是房子有点小了，总体还不错。', '短评打分': 4}
{'短评内容': '老板人很好，亲自来找我，带我去旅店。简陋却温馨的旅店很适合出行选择。', '短评打分': 4}
{'短评内容': '第二次来咯！ 在这里住了几天，很温馨 ，需要洗衣服什么的都有洗衣机，有衣架，还有晾衣服的！就是房间小了点， 这里离北站很近，坐车方便！网速很给力的哈哈 电视有很多台，以前我住过这边另一家只收几个台！！！ 以后出差就来你们家乐，祝老板生意兴隆，哈哈', '短评打分': 3}
{'短评内容': '位置就在火车站对面的楼里，外面没有招牌，特难找，房间是套房改造的，设施陈旧，所谓电脑房.....，这张订单是由于我晚上到的飞机太晚，第二天一早又必须赶火车，无奈的选择，留下的电话无人接听，老板来接的时候还骂骂咧咧的，态度不好，不建议推荐', '短评打分': 2}
