{'短评内容': '虽然刚开始有点不愉快，问题很快解决给力赞', '短评打分': 5}
{'短评内容': '这家锅炉烧水烧不及，不得不严格控制客户用水。实在无语。提醒大家，必须要看清楚温泉是否是真正温泉水！！！', '短评打分': 3}
{'短评内容': '住的森林驿站，有点像独立别墅！很静！空气很好！大自然，种了桂花淡淡的花香随风而至！楼下停车方便！到温泉又有电瓶车服务！方便！', '短评打分': 5}
{'短评内容': '感觉住在野外，没有服务员，自己找房子，自己找吃饭的地方，自己找泡温泉的地方。。。', '短评打分': 5}
{'短评内容': '舒服的大自然', '短评打分': 5}
{'短评内容': '酒店好，会有下次', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '服务人员很热情，酒店大气，但是景区内设施感觉有点旧了，不过休闲游还是挺不错的，景区内食物都不贵，买点手信还是挺不错的', '短评打分': 5}
{'短评内容': '酒店住宿环境不错，温泉的品质还不错，还有很多不同的种类的温泉池，还有冲浪的大泳池，基本上真的是值得一去再去的', '短评打分': 5}
{'短评内容': '房间灯光比较暗，其他还好', '短评打分': 5}
{'短评内容': '房间灯光比较暗，其他还好', '短评打分': 5}
{'短评内容': '相当不错，非常有特色，很多池子可以泡温泉就是要从酒店自己走过去，还有早餐太差了非常难吃', '短评打分': 5}
{'短评内容': '可以接受', '短评打分': 4}
{'短评内容': '空气质量不错', '短评打分': 4}
{'短评内容': '绝对好评，酒店硬件很不错，人也很有礼貌', '短评打分': 5}
{'短评内容': '其实我很犹豫，到底推不推荐森波拉森林酒店。因为那里的周围环境和大堂都很好，很舒服。但房间小，洗水盆排水差，晚上的空调更是自动的升高，我和先生为了这，分别起了几次，根本睡不好。下午去冰川水谷想泡温泉，竟被告知现在不开放，少数开放的几个温泉，水质却又很脏，最后扫兴回房间看电视，再没兴致去玩第二次。奇妙世界还可以。唯一值得安慰的是早上起来，清脆的各种鸟声，新鲜的空气，还有近距离看小鸟抓虫子吃。一切的不愉', '短评打分': 5}
{'短评内容': '酒店环境一般', '短评打分': 3}
{'短评内容': '活动多元化，水上活动，机动游戏，温泉，舞台剧适合一家大细来参加。餐饮一定试清远鸡，香甜！', '短评打分': 3}
{'短评内容': '是一家大小出外度假的好地方，住宿环境一流，房间处于丛林环绕当中，窗外鸟语花香。虽然价格稍贵，但是值得推荐的酒店，特别是晚餐自助餐，品类多样，很丰富。花山温泉有大型演出表演。是儿童嬉水的好地方。', '短评打分': 5}
{'短评内容': '房间卫生做得不错，干净是我比较注重的', '短评打分': 3}
{'短评内容': '环境不错，露天餐厅美味，温泉也值得推荐。', '短评打分': 5}
{'短评内容': '很有特色的酒店，豪华房布置很有特色，温馨、舒适，很适合短期渡假。入住酒店可无限次出入火山温泉，享受泡温泉的感觉美妙极了。', '短评打分': 5}
{'短评内容': '酒店服务到位，房间干净舒服，温泉比较正宗，泡久了皮也不起皱。附近还有草莓场，总体感觉比较适合度假。下次会再光顾。', '短评打分': 5}
{'短评内容': '价格还可以接受！但温泉服务已经没有以前那么好了！再没有吸引力了！', '短评打分': 3}
{'短评内容': ' 不错 环境很好，就是吃的东西少，酒店的空气也是超好，以后还会来', '短评打分': 5}
{'短评内容': '酒店服务不错，入住环境也很好，周围有很多植物，空气非常清新，度假值得一去', '短评打分': 5}
{'短评内容': '酒店客房较舒服，只是配套设施一般。温泉不错。', '短评打分': 5}
{'短评内容': '整体环境不错，建筑设计有特色，内部装修和家具用料独树一帜。但早餐喝温泉区的小吃品种偏少。适合于休闲度假。', '短评打分': 5}
{'短评内容': '是一家性价比很高的酒店式公寓，有洗衣机很方便出差旅行，唯一缺点就是电热水器洗澡时间太短，10分钟内洗完很不爽。。', '短评打分': 5}
