{'短评内容': '还不错，晚上比较安静，个人比较还不错，值得推荐', '短评打分': 5}
{'短评内容': '还可以吧，设备旧了些，位置还可以，总的来说不错，打8分吧', '短评打分': 5}
{'短评内容': '服务可以 卫生不错 装修一般 房间比较紧凑 设施齐全但维护不到位 网速还行 电视信号有断线情况 室外空调机有噪音 酒店地点不太容易辨认  总体可以 价格适中 \n', '短评打分': 5}
{'短评内容': '差不多', '短评打分': 3}
{'短评内容': '我两年前第一次去青岛的时候就住在这个酒店，当时房价也就120.比较舒服，离李沧的购物中心很近，非常方便。', '短评打分': 5}
{'短评内容': '地点那么难找，二楼的房间房门还都是坏的，房卡打不开，得让服务员开门，而且网线没水晶头，大半夜走廊还那么吵，一种上当受骗的感觉', '短评打分': 1}
{'短评内容': '我住过最差的酒店，酒店设施都很旧，刚进去还有股臭味，除了地理位置离逛街比较近外其他都很差，不值这个价', '短评打分': 3}
{'短评内容': '还可以，就是隔音不好，在李村商业区，比较好找，还可以', '短评打分': 5}
{'短评内容': '还算是干净吧！就是价格貌似不是很实惠啊！', '短评打分': 5}
{'短评内容': '可以用简陋来形容，床单不干净，桌子的边都坏了，还露出了钉子……这个标准价格还是有点贵', '短评打分': 1}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '位置不错，挺干净的，周围有很多小饭馆，吃饭很方便，就是去市南市北远一些。', '短评打分': 5}
{'短评内容': '除了便宜、、、、没什么好的了、、、、、、、、、、、、、', '短评打分': 1}
{'短评内容': '房间较小，温度较低，价格较高，空调反应较慢', '短评打分': 5}
{'短评内容': '地方不错，地处李沧区繁华地带。周围出行很方便，设施还可以，服务态度很好。', '短评打分': 5}
{'短评内容': '很简陋，但是便宜，钱不多的还是可以选它的', '短评打分': 5}
{'短评内容': '没想到这个李沧商业圈竟然离市里这么远！平时坐车至少要1个小时~去的第一天晚上回来遇到大堵车~在车上站了整整2个半小时才回到住处~车上人还超级多不能动弹~回去后腿都肿了~地理位置太偏僻~再也不会住这里了~条件卫生设施都很一般~', '短评打分': 1}
{'短评内容': '酒店不是很专业，早上通知楼层的服务员打扫房间，晚上回来后发现，洗手间打扫了，但是床没有整理，而且水杯也没有清洗，楼层的隔音效果不好，有点动静就能听到', '短评打分': 3}
{'短评内容': '+2213', '短评打分': 5}
{'短评内容': '我到了前台告诉我没有订单记录，三方连线之后给我先安排入住，后有补发了传真。弄得很不舒服结果是让我满意的。', '短评打分': 5}
{'短评内容': '在青岛啤酒节期间，住了特价房6天。房间虽然简陋又没有冰箱，但有空调服务态度不错， 我很满意。地理环境优势，周边有医院和国贸，晚上也可以逛夜市。更重要的是去青岛啤酒城算便利。', '短评打分': 5}
{'短评内容': '卫生条件非常差！床单被套上面都是一块块黄色的，看不清是什么！不建议入住！', '短评打分': 1}
{'短评内容': '有点难找，不过服务很好', '短评打分': 5}
