{'短评内容': '三年之内的电影随便看，很爽', '短评打分': 4}
{'短评内容': '吃住都方便，旁边就是胶东渔村饭店，距离石油学院很近', '短评打分': 4}
{'短评内容': '房间挺大，价格适中！满意。就是一楼的快餐太简单，几乎没什么吃的可以挑选的。总之，就住宿单方面还是满意的！', '短评打分': 5}
{'短评内容': '住过两次，在石油大学北门附近，位置一般吧，不过朋友在附近，自然住在这里。三人间房间价格不高，条件都还好。', '短评打分': 4}
{'短评内容': '前台一个屌丝男 为什么会用屌丝 表示我的不满 好像欠了他钱一样 阴阳怪气的 好像我定了一个价格略低于他们门市价格几块钱的房间就不舒服一样 一直和一个女的在哪里逼逼 阿狸阿狸定的 记录一下 神经病 开门做生意 你不满意 就别挂那个价格 最后我有点事 问他附近有没有打印的地方一份文件需要打印 没有 不知道 结果我一出门 正对门就有 有意思？屌丝男看你那头发 没事洗洗头吧 在这里 我投诉这位屌丝男 最后', '短评打分': 1}
{'短评内容': '酒店里边确实很旧了', '短评打分': 4}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '住久了前台服务越来越差', '短评打分': 4}
{'短评内容': '值得推荐', '短评打分': 4}
{'短评内容': '太恶心了', '短评打分': 2}
{'短评内容': '房间挺大，价格优惠，楼下有电影院，看电影很便宜，离汽车总站不远，总体还不错，值得入住。', '短评打分': 4}
{'短评内容': '房间收不到无线', '短评打分': 3}
{'短评内容': '房间较大，主要是最新电影齐全，不错', '短评打分': 3}
{'短评内容': '交通不是很方便，附近大型超市，酒店内部超市东西价格偏高。', '短评打分': 3}
{'短评内容': '酒店装修很差，空间倒是很大，有味 ；服务态度极其不好，与酒店的价格不匹配；早餐很差', '短评打分': 1}
{'短评内容': '一般，房间很破，大堂很吵，乱哄哄的，服务态度很差，服务员还不诚实', '短评打分': 3}
{'短评内容': '第一间房的水龙头是坏的，并且卫生间是我住过所有酒店最小的', '短评打分': 1}
{'短评内容': '卫生条件不错，但隔音效果不好，外面开关门的声音在屋子里面听得很清楚，另外，早餐也一般，不过看电影还是比较方便的', '短评打分': 5}
