{'短评内容': '很好很好很好', '短评打分': 5}
{'短评内容': '定的标间，无早餐，空间太小，热水没有，设备陈旧，于是就住了一晚就退房了，服务态度好，位置方便，楼层不是太高', '短评打分': 4}
{'短评内容': '早餐能丰富一点就挺好。', '短评打分': 5}
{'短评内容': '还不错吧，下次有机会再来。', '短评打分': 5}
{'短评内容': '酒店位置不错，早餐也还可以，就是房间有点小', '短评打分': 5}
{'短评内容': '还是不错的', '短评打分': 5}
{'短评内容': '酒店非常不错，住着舒服，服务也不错', '短评打分': 5}
{'短评内容': '赶上中公教育包场，免费升级豪华房了，很好(✪▽✪)', '短评打分': 5}
{'短评内容': '环境很好', '短评打分': 5}
{'短评内容': '不错，离火车站很近，步行可到！房间不大', '短评打分': 4}
{'短评内容': '不错，离火车站很近，步行可到！房间不大', '短评打分': 4}
{'短评内容': '便捷、方便，以往住乐府，将来会首选这家。', '短评打分': 4}
{'短评内容': '非常具有性价比', '短评打分': 5}
{'短评内容': '房间很干净。', '短评打分': 5}
{'短评内容': '环境不错，出门方便，价格便宜，很好！', '短评打分': 5}
{'短评内容': '环境卫生挺好，还有早餐提供。。。', '短评打分': 5}
{'短评内容': '环境卫生挺好，还有早餐提供。', '短评打分': 5}
{'短评内容': '环境卫生还可以，也有早餐提供。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '入住这期间，没有热水，且相隔一天这房费从299降至239，不知京东对用户怎样售后。', '短评打分': 3}
