{'短评内容': '安静挺好的', '短评打分': 5}
{'短评内容': '外观还好，离机场十分钟车程，但是住宿环境真心不好，走廊里房间里都有很大的霉味，所谓的四星级估计是上个世纪的事了。。完全不推荐。', '短评打分': 5}
{'短评内容': '哈哈哈哈哈哈哈好纠结', '短评打分': 5}
{'短评内容': '房间够大，唯独吹风机太次了。', '短评打分': 5}
{'短评内容': '不让美团送上房间，得下楼取。洗浴用品得包装磨损严重，严重怀疑再利用。卫生间异味很大，酒店管理水平真不咋的', '短评打分': 3}
{'短评内容': '环境，服务还可以吧', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '还不错吧，性价比还好吧！', '短评打分': 5}
{'短评内容': '非常好，四星级就是好', '短评打分': 5}
{'短评内容': 'fjlkgfdsss吧', '短评打分': 5}
{'短评内容': '飞机晚点了只睡了4个小时，有点可惜', '短评打分': 5}
{'短评内容': '好东西真的很好安静方便快捷干净！', '短评打分': 5}
{'短评内容': '整体挺好的，很舒适', '短评打分': 4}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '房间够大，但是太旧，有些年份，适合中老年', '短评打分': 5}
{'短评内容': '到现在姐姐还在过敏、以后不会推荐朋友', '短评打分': 4}
{'短评内容': '干净整洁很好。', '短评打分': 5}
{'短评内容': '很一般。进去房间很脏，有股很大的霉味。', '短评打分': 2}
{'短评内容': '枕套上的破洞 ………', '短评打分': 3}
{'短评内容': '精致房，除了没有窗户，其它都不错！房间干净，工作人员服务态度和善！边上是枋湖客运中心，离高崎机场也不远！', '短评打分': 5}
{'短评内容': '非常好的酒店价格到位', '短评打分': 5}
{'短评内容': '不喜欢。给我开了一个没有窗户的房间。进去一大股发霉的味道。睡的超级不舒服。感觉那里都不干净。', '短评打分': 1}
