{'短评内容': '不错的选择', '短评打分': 5}
{'短评内容': '旅店很适合出行 就是太难找了 位置在金丰大厦15楼 总之还不错', '短评打分': 5}
{'短评内容': '环境不错，老板态度非常好', '短评打分': 5}
{'短评内容': '房间不错，地理位置在大连开发区还算可以的，闹中取静，房间确实大大的，出门交通也方便，下次过来还住这里-', '短评打分': 4}
{'短评内容': '位置有点难找到，别的都不错', '短评打分': 5}
{'短评内容': '房间大小宽敞，床垫舒适度还行，洗漱用品不行、太烂，加100可在对面的银帆酒店用餐', '短评打分': 3}
{'短评内容': '跟他老板聊的不错！都不容易！', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '房间很干淨，商务出差的好選擇，美中不足的是浴室太小了，其他都很好', '短评打分': 5}
{'短评内容': '老板非常热情，想的也很周到，帮我们免费升级成套房，但是就是出入不太方便，电视机略微有点杂音，其他的非常赞！酒店还可以提供用车服务！总之商务出差非常合适！下次还会来！建议弄点指示牌，要不第一次去的不太好找！', '短评打分': 5}
{'短评内容': '跟这家酒店的主人好多年前就认识，所以一直在住。  最近换了业主，还好酒店的管理质量等没有下降。  就是上楼不方便。    跟这家酒店的主人好多年前就认识，所以一直在住。  最近换了业主，还好酒店的管理质量等没有下降。  就是上楼不方便。      跟这家酒店的主人好多年前就认识，所以一直在住。  最近换了业主，还好酒店的管理质量等没有下降。  就是上楼不方便。', '短评打分': 5}
{'短评内容': '不错，很干净！', '短评打分': 5}
{'短评内容': '非常干净温馨价格便宜去大连一定还会再去', '短评打分': 5}
{'短评内容': '位置方便，交通便利，服务不错', '短评打分': 3}
