{'短评内容': '挺好的，就是洗手间有点小，其它的都比较满意', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '安静，交通方便，楼下是四季烤鸭，味道很好。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '连续住了5天，感觉良好。', '短评打分': 5}
{'短评内容': '平靓正', '短评打分': 5}
{'短评内容': '酒店是个比较老的酒店，设施一般，还算卫生，来这住了好多次了，主要是因为离我要去的医院近，位置比较方便', '短评打分': 4}
{'短评内容': '满意，干净舒服！', '短评打分': 5}
{'短评内容': '旧了', '短评打分': 3}
{'短评内容': '旧了', '短评打分': 3}
{'短评内容': '很好喔 酒店干净 舒适 卫生 很好', '短评打分': 5}
{'短评内容': '位置好', '短评打分': 3}
{'短评内容': '环境还行', '短评打分': 5}
{'短评内容': '环境很安静，交通方便，购物便利，值得再住。', '短评打分': 5}
{'短评内容': '环境很安静，交通方便，购物便利，值得再住。', '短评打分': 5}
