{'短评内容': '很棒很不错 很满意', '短评打分': 5}
{'短评内容': '就是服务差了点，地点不错', '短评打分': 5}
{'短评内容': '怎么说呢老板人很好，那么晚了，还亲自接待，就是房间比较久了，沙发有点褪色，可惜到的有点晚，已经没有别的房间了，地角不错，靠近大悦城，希望老板再能用点心在房间卫生上面', '短评打分': 4}
{'短评内容': '真心说，一般，和大悦城别家比差了点，虽然我住了几天，那是因为带着病人和行李多，不爱换地方。', '短评打分': 3}
{'短评内容': '住了一共住了3晚，带的东西多，不爱换地方，关键是大悦城这都是这样的公寓酒店，价格都差不多，换也没什么好地方。总之条件一般吧', '短评打分': 3}
{'短评内容': '大悦城不必多说了，沈阳商业中心，非常繁华，酒店设施一般，公寓式的，价格100多还行吧', '短评打分': 3}
{'短评内容': '卫生实在不敢恭维', '短评打分': 3}
{'短评内容': '很简单，但是挺温馨的，WiFi不好用，没有空调遥控器，一会打算去问问，餐具取了一个小时了，还在等', '短评打分': 3}
{'短评内容': '环境好，地理位置好，下楼就中街很方便，商家态度很好，很满意的一次入住。', '短评打分': 3}
{'短评内容': '还可以，就是有点冷，空调不开', '短评打分': 3}
{'短评内容': '便宜，实惠，设施齐全，服务态度很热情，打电话问路，下楼的接的我。房间很整洁，要是有一次性拖鞋就更好了，有冰箱，还有微波炉，还有洗衣机，您出行游玩值得住的地方！', '短评打分': 3}
