{'短评内容': '挺好的，离影视城近', '短评打分': 5}
{'短评内容': '房间是新的，刚装修，位置很好，挺安静，一点也不吵，好像床单不是太干净，老板有点抠，没有舍得给空调遥控器', '短评打分': 4}
{'短评内容': '老板和老板娘都很热情，离影视城很近', '短评打分': 4}
{'短评内容': '不错，还有阳台', '短评打分': 5}
{'短评内容': '老板一家都很好...送了特产橘子...阿姨烧的菜特别好吃...吃出了家的味道...价格便宜....服务很周到....环境干净，离影视城蛮近的...很好找...下次还要来...', '短评打分': 3}
{'短评内容': '环境不错，房间干净整洁，有独立的卫生间，价格便宜，很值，l老板很热情，路线不知道，吃饭问题老板都会帮忙解决，祝生意兴隆！', '短评打分': 3}
{'短评内容': '跟家里的感觉差不多，但是两个房间床的大小不一样哈哈，谢谢送的黄桃', '短评打分': 3}
{'短评内容': '这家客栈很有特色，还带了小孩子让他们体验一下，到了以后孩子们都说棒，价钱也便宜，实惠，房间比较满意，干净，清爽，老板不错，很客气，谢谢款待！', '短评打分': 3}
{'短评内容': '我是从外面来旅游的，在网上订了这家客栈，来了以后老板很热情，对我们很客气，环境有特色，来体验农家风味很不错，房间干净，是刚装修的不错，洗漱用品齐全，价格便宜，推荐！', '短评打分': 3}
{'短评内容': '我们在网站上看到这家客栈，入住后果然没有让我们失望，房间干净卫生，住的很开心，老板也很热情，必须说一下这个价钱很值', '短评打分': 0}
{'短评内容': '房间不错，干净卫生，是刚刚装修的，老板人不错，下次还来你家，赞', '短评打分': 0}
{'短评内容': '我们是在网上看到这家农家乐的，我们不知道路线，老板耐心的跟我们讲解，房间不错，如果下次有机会还会来你家', '短评打分': 0}
{'短评内容': '房间干净卫生，明亮，价格便宜实惠，老板人也不错，有什么事情都会帮忙', '短评打分': 0}
