{'短评内容': '还是不错的。', '短评打分': 4}
{'短评内容': '房间小的很', '短评打分': 4}
{'短评内容': '很好，靠近地铁', '短评打分': 5}
{'短评内容': '酒店周边吃的多', '短评打分': 5}
{'短评内容': '很好的，，，，，，，，，，，', '短评打分': 5}
{'短评内容': '不是很干净 希望改进卫生状况 周边很方便', '短评打分': 3}
{'短评内容': '床单被罩干净就好了', '短评打分': 4}
{'短评内容': '一个字：挺实惠的。还有就是地理位置挺好的，离地铁站近', '短评打分': 4}
{'短评内容': '好。。。。。', '短评打分': 4}
{'短评内容': '环境错。就是五一价格都涨。', '短评打分': 5}
{'短评内容': '周边小饭店，排档很多．房间设施简单，卫生一般．好在便宜', '短评打分': 2}
{'短评内容': '周边小饭店，排档很多．房间设施简单，卫生一般．好在便宜', '短评打分': 2}
{'短评内容': '除了隔音，价格，位置，服务，其他都非常好。', '短评打分': 5}
{'短评内容': '很干净。。老板人也热情。这个价位相当值', '短评打分': 3}
{'短评内容': '出差都住这家店，还不错，干净整洁，也安静，服务也不错。。。推荐。。。', '短评打分': 3}
{'短评内容': '房间舒适、干净，是不错的选择，并且吃饭、购物非常方便，交通便利，很好！', '短评打分': 3}
{'短评内容': '干净，服务不错，打扫及时，老板态度不错，下次还来', '短评打分': 5}
{'短评内容': '真信不错，老板人好。热情。环境不错，周边交通也方便，硬件还是OK的，现在还在入住中。。', '短评打分': 5}
{'短评内容': '就是家庭式的宾馆，不过还是干净，因为不是主干道，也挺安静，老板很好，下车后给他打电话马上就过来接，如果要到汽车客运中心坐车住这儿挺方便。', '短评打分': 5}
{'短评内容': '价格实惠，而且房间安静，整洁，房间不错，老板态度不错，出门是因为没带伞，老板主动接了把伞给我们用，下次有机会还去哦', '短评打分': 5}
{'短评内容': '我们已经住下，环境不错，卫生条件也很好，我们很满意。', '短评打分': 3}
{'短评内容': '老板很好  找不到地址 老板还是很热情的来接了', '短评打分': 5}
{'短评内容': '蛮干净，老板态度热情。', '短评打分': 3}
{'短评内容': '酒店位于九堡客运中心对面，那里有数十家类似的这种类型的家庭式招待所。从火车站坐公交No.508过来，要一个小时，离市区挺远的。因为第二天一早要在九堡坐长途汽车，所以图个方便，在此住宿。\n基本上是招待所的设施，房间内的拖鞋还是塑料的。没有什么可抱怨的，也没有什么可推荐的。一般般~~。\n', '短评打分': 5}
{'短评内容': '地理位置很好，在九堡客运中心附近，走三百米的样子就到了，而且附近的交通也很便利。\n酒店的老板很热心，很好。\n', '短评打分': 5}
