{'短评内容': '位置不错，在景区内，走100米就可到售票处', '短评打分': 5}
{'短评内容': '不含早，酒店位置距离灵峰风景区几百米很近，有停车位置，灵峰夜景真的没意思，不推荐大家看，日景可以看看，酒店非常干净，舒适', '短评打分': 5}
{'短评内容': '因故未能出行，不能退款，如提前三天取消订单可退一半的款更值得称赞！因故未能出行，不能退款，如提前三天取消订单可退一半的款更值得称赞！', '短评打分': 5}
{'短评内容': '酒店位置在灵峰景区旁，看夜景非常方便。旁边还有一个谢公岭古道，有时间去走走应该不错。酒店不含早餐，但出门就有很多小餐馆，早上兩碗粥，兩盆小菜10元钱，吃得熱呼呼地出门爬山很不錯。', '短评打分': 5}
{'短评内容': '酒店还不错，在灵峰景区隔壁，很方便。早餐门口就有的吃，老板人很热情。总体在国庆旅游期间过来玩，还是不错的。', '短评打分': 5}
{'短评内容': '很清爽的一间农家乐，设备也蛮新，实惠的价格，真心推荐！店主还介绍我们镇上早餐，收费也合理，离景区也很方便，性价比高！就是整个景区菜偏贵哦！', '短评打分': 5}
{'短评内容': '很清爽的一间农家乐，设备也蛮新，实惠的价格，真心推荐！店主还介绍我们镇上早餐，收费也合理，离景区也很方便，性价比高！就是整个景区菜偏贵哦！', '短评打分': 5}
{'短评内容': '本以为在景区门口会吵，却意外地清静，找的时候稍微找了一会，每天都往返步行街吃饭，第二天厕所发现一只蟑螂，消灭掉继续住，这地方房子都这样，所以也没太介意。', '短评打分': 4}
{'短评内容': '不错的入住体验，这个价位应该来说非常不错，稍有些瑕疵的是床底有灰尘，其他还是能接受的', '短评打分': 5}
{'短评内容': '酒店在灵峰附近，走过去5分钟路程，提供免费接站服务，司机夏师傅人蛮好的，帮我们规划了到楠溪江的行程，我们包车一整天，楠溪江游玩了四个景点，不足之处就是楼下有棋牌室，每天晚上喧闹声无法入睡', '短评打分': 4}
{'短评内容': '很好！', '短评打分': 5}
{'短评内容': '房间干净，位置方便紧邻灵峰景区，老板为人很热情，价格便宜！', '短评打分': 1}
{'短评内容': '在灵峰盘！还行！蛮干净的！', '短评打分': 3}
{'短评内容': '老板娘很热情，告诉我们怎么参观景区，很不错。房间热水很好。', '短评打分': 4}
{'短评内容': '一般的家庭旅馆，比较简陋，特价房比较差，后来加50元住普通房，卫生间没窗户，没有挡水门，洗澡弄湿地面，很滑！节假日真是贵，338元，性价比低。', '短评打分': 2}
