{'短评内容': '咯哦', '短评打分': 5}
{'短评内容': '该酒店服务设施完善，实用功能齐全，服务员很热情，服务周到。床非常舒服，干净。停车方便，早餐丰富。出门右转100米，是酒店用品批发市场，蔬菜水果，应有尽有。下次有机会再来。', '短评打分': 5}
{'短评内容': '嗯，', '短评打分': 5}
{'短评内容': '总体不错，就是稍微有一点不隔音。整体酒店房间有点小，其它都还可以。入住还有水果的赠送，不错。嗯，下次出差可以考虑再住这里。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '服务可以，就是设施好老，洗澡顶喷用不了。', '短评打分': 4}
{'短评内容': '先说好的，房间有水果，纯净水，很温馨，有种回家的感觉。早饭也就一般，和房费比起来还是成正比的。719，建议别住这间，楼上烧锅炉的声音，会一晚上伴随着你。关于网络，头晚上来了服务员，不会联，说电脑连不起，总台的人也不知道该怎么连，说只有手机能连，电脑只有连网线(这都啥年代了)，我就想，商务出差下次只能不住这儿，随后来了个副经理，就给我连上了，用了密码。。。。我就想问个问题，这么大的酒店，就她知道这个', '短评打分': 4}
{'短评内容': '晚上出差到广元通过ctrip预定了此家酒店，晚上因为喝了酒吐在厕所了交了客房服务帮我打扫的非常干净所以一个字棒', '短评打分': 5}
{'短评内容': '感觉不到豪华两个字，设施相对陈旧了，还行', '短评打分': 4}
{'短评内容': '大床房，床是1.5米宽的，床稍微有点小，整体还算不错', '短评打分': 3}
{'短评内容': '位置不错，出行比较方便，用餐购物都很便捷！', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好很好非常好！感谢携程的重视！', '短评打分': 5}
{'短评内容': '在四川广元地区属于性价比较高的酒店，酒店的工作人员服务礼仪较好，工作细致入微。酒店周边交通方便，公交车很多，周边商业较热闹。酒店有早餐提供，吃饱没问题。在本人入住4天期间、感谢酒店的热情、友好的服务！感谢携程旅行网的大力帮助！', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '环境不错 旁边有一家火锅巨好吃', '短评打分': 5}
{'短评内容': '还不错，就是网路蛋疼', '短评打分': 4}
{'短评内容': '很不错哦 价格合适 房间整洁卫生 遗憾的是没有衣柜 也没有睡衣 其余都不错 可惜晚上8点之后送餐就只剩面条抄手了 没有尝试一下师傅的手艺', '短评打分': 5}
{'短评内容': '\n酒店房间还可以，但周边比较闹', '短评打分': 3}
{'短评内容': '在广元这样的城市，酒店是比较上档次的，下次还会选择入住', '短评打分': 5}
{'短评内容': '酒店房间还是不错，就是酒店的停车场不太好。地下停车场很小，进出通道很陡，也没看有人看管，出地下停车场的通道栏杆离离通道口太近，需要等酒店保安升起栏杆，得用手刹才能防止车倒滑。至于露天停车场，其实就是酒店的街边。希望停车场能改进一下！', '短评打分': 5}
{'短评内容': '一般，房间比较舒适，有赠水，有地下停车场。隔音不好，环境比较乱。', '短评打分': 5}
{'短评内容': '1、的确有大酒店的范儿，服务很周到细致。\n2、很细心，每日赠送一小份水果和报纸。\n3、早餐也很好，还有米粉，以后都会住在这家。', '短评打分': 5}
{'短评内容': '房间设施还好,性价比略低了.', '短评打分': 3}
{'短评内容': '酒店环境设施不错，位置也好。大床房房间有点小，管理人员服务态度好。', '短评打分': 3}
{'短评内容': '酒店还可以。比以前住的特价（无窗）要好。到建材市场很方便', '短评打分': 5}
{'短评内容': '位置可以，特别是在建材市场附近，很方便！特价房没有窗，遗憾。', '短评打分': 5}
{'短评内容': '性价比不高，装修一般，服务态度一般，第一次过去住。', '短评打分': 5}
{'短评内容': '酒店比较干净整洁，服务不错，就是房间小了点。', '短评打分': 3}
{'短评内容': '位置不错，房间也挺宽敞的，略显陈旧，早餐也比较简单。总体还不错', '短评打分': 5}
{'短评内容': '酒店不错', '短评打分': 5}
{'短评内容': '酒店除了服务跟不上，其他的都是不错，下次到广元还来住，不过黄金周房价太高了', '短评打分': 5}
{'短评内容': '房间很干净，配置设施也很达标，还不错的酒店。', '短评打分': 5}
{'短评内容': '酒店的地理位置优越，处于比较繁华的地段出行交通方便。', '短评打分': 5}
{'短评内容': '酒店的服务很好，非常周到。配置也很全。', '短评打分': 5}
{'短评内容': '早餐丰富种类很多，环境配置都很达标。卫生也很好，到处都干干净净的。', '短评打分': 5}
{'短评内容': '服务好，房间还送水果，比较温馨。', '短评打分': 5}
{'短评内容': '按照这个价格位置来讲，这家酒店还是不错的，房间打扫的很干净，设施方面也比较齐全，酒店的位置也挺好找的，周边交通还可以，就是酒店停车场太小了，需要扩大点。整体感觉性价比还是不错的。', '短评打分': 5}
{'短评内容': '酒店环境还不错，就是最后结帐的时候有点麻烦。', '短评打分': 5}
{'短评内容': '很不错的酒店，\r\n\r\n尤其是服务相当好！\r\n\r\n高速公路在修，一路颠簸，\r\n\r\n住进天豪这样的地方，劳累顿解。\r\n\r\n房间有酒店特制的饮用水，看得出是用心做的。\r\n\r\n早餐也很丰盛。\r\n\r\n以后还会住。\r\n\r\n', '短评打分': 5}
{'短评内容': '性价比高,物有所值.', '短评打分': 5}
{'短评内容': '不错.干净...', '短评打分': 5}
{'短评内容': '酒店的服务卫生以及设施的都很好的，酒店的位置以及交通很好的，性价比不错的酒店', '短评打分': 5}
{'短评内容': '酒店整体感觉一般,当时去的时候,房间还没有打扫好,而且当是时结帐的时候,它那的刷卡系统又出现了问题,这点挺麻烦的,不过卫生条件还可以,价位也比较适中,还是可以接受的', '短评打分': 5}
