{'短评内容': '卫生不咋滴，不过能到机场接送还是很方便的', '短评打分': 4}
{'短评内容': '交通不是太方便', '短评打分': 3}
{'短评内容': '离火车站很近 走路五分钟，但是离市区就远了，晚上出门不方便 边上什么都没有  空荡荡的', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '很安全很国企。推荐！', '短评打分': 5}
{'短评内容': '安静，干净，离火车站是相当的近，满意', '短评打分': 5}
{'短评内容': '方便，非常方便', '短评打分': 5}
{'短评内容': '很安静，老板很热情。', '短评打分': 5}
{'短评内容': '坐火车很方便，2分钟步行就到。', '短评打分': 4}
{'短评内容': '空气很好，朴素清洁简单属于乡间自然感，隔壁有铁路食堂和铁路单位的招待所，有对外开放。在旺季敦煌价位算最便宜的了。去莫高窟很方便，很近。', '短评打分': 4}
{'短评内容': '酒店就是招待所，是兰州铁路局办的，还有怀旧气息，有免费送机服务', '短评打分': 4}
{'短评内容': '因为第二天8点的飞机，才选择铁丰宾馆，有免费送机服务，司机很好，只是宾馆条件一般，年份比较旧，没有电梯，行李搬上三楼很辛苦，房间没有杯子，漱口也不知道怎么办，房间的灯比较暗。敦煌机场是要提前30分钟办理登机手续就好了，没必要太早。', '短评打分': 4}
{'短评内容': '就在火车站旁，就是通向宾馆的路是沙子。', '短评打分': 4}
{'短评内容': '酒店离火车站很近，步行五分钟！就是离市区有点远，公交7:30到火车站的就没有了！服务很好，就是床有点硬！卫生很好！洗澡水很大！推荐！', '短评打分': 5}
{'短评内容': '强烈推荐！就在火车站旁边，距离莫高窟数字中心走路二十分钟，老板人很好！', '短评打分': 5}
