{'短评内容': '很好很喜欢。也很舒服', '短评打分': 5}
{'短评内容': '房间还可以，订的无窗无早餐的，价格能接受，卫生也还行，就是隔音太差了，半夜别人入住把我吵醒两三次，厕所也稍微小了一点点，总体来说一般', '短评打分': 5}
{'短评内容': '清洁卫生，安静舒适', '短评打分': 5}
{'短评内容': '酒店还不错，装修的好，设施齐全，要求不是太高或者一般商务出行没问题', '短评打分': 5}
{'短评内容': '房间整洁干净舒适', '短评打分': 5}
{'短评内容': '环境还不错 可是早餐去哪了？ 住了四天一次早餐都没有', '短评打分': 3}
{'短评内容': '连住了将近20天，对面的冰粉太好吃了。下次还会来住', '短评打分': 5}
{'短评内容': '避暑圣地，成都，性价比最高凤凰御庭', '短评打分': 5}
{'短评内容': '干净卫生，性价比超高。以后在成都只住这里', '短评打分': 5}
{'短评内容': '超级干净，住过凤凰御庭的其他店这个是最好的，干干净净的，床也很舒服，很软，花点钱值了', '短评打分': 5}
{'短评内容': '免费升级了大床房，棒棒的。环境很不错，干净，楼下居民区的小吃很多很好吃实惠。', '短评打分': 5}
{'短评内容': '刚开始订了一天，入住后感觉各方面都不错，又订了几天', '短评打分': 5}
{'短评内容': '干净卫生，交通便利，房间宽敞', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '性价比超高，五星好评，成都首选', '短评打分': 5}
{'短评内容': '性价比超高，五星推荐。', '短评打分': 5}
{'短评内容': '这个酒店最大的好处就是性价比超高，所以，我是基本上在成都就是说首选这家店', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '很好很不错，就是价格比较贵，相对于其他酒店没有优势', '短评打分': 5}
{'短评内容': '交通便利，离北门车站近，有WIFI，干净，性价比高', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '真心不错 性价比很高 交通方便 很划算的', '短评打分': 3}
{'短评内容': '服务还行！设备有点年头了！', '短评打分': 4}
{'短评内容': '还行吧，也算干净，其他的，也不知道说啥了', '短评打分': 3}
{'短评内容': '位置可以，环境一般、整体还是不错的', '短评打分': 3}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '卫生还不错，就是价格有点虚高，要是花八十元办张会员卡多住几天还是比较划算的。', '短评打分': 5}
{'短评内容': '蜀北宾馆不错。', '短评打分': 3}
{'短评内容': '酒店设施比较先进，网络是8兆的，就是网线水晶头发黑，导致网络不稳定。', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '安静安静还是安静，很好，早餐也不错…………………………………………………………', '短评打分': 5}
{'短评内容': '安静，实惠，喜欢，就是交通相对不太方便…………………………', '短评打分': 5}
{'短评内容': '客房干净，早餐不错，只是交通不太方便，总体感觉还可以。', '短评打分': 5}
{'短评内容': '各方面都可以，适合差旅，虽然不是高档型，但自己住着感觉比较舒服。', '短评打分': 5}
{'短评内容': '性价比高，卫生可以，服务到位，设施齐全，舒适', '短评打分': 5}
{'短评内容': '酒店离火车站挺近的，交通挺便利，赶火车很方便。', '短评打分': 5}
{'短评内容': '前台戴眼镜的男服务员态度特别好，总是微笑服务的，特别亲切，热情，早餐品种也很丰富，住宿环境很好', '短评打分': 5}
{'短评内容': '成都蜀北宾馆是一家不错的旅馆,价格便宜,服务周到,卫生条件也不错,只是迪理位置处在一个比较小的街道,交通不太方便,但不管怎么说,下次去我也许还会住.', '短评打分': 5}
{'短评内容': '酒店各方面挺不错，性价比蛮高的，值得推荐。', '短评打分': 5}
{'短评内容': '酒店性价比很高，不管是服务还有硬件设施这方面我个人都很满意，下次还会去住的', '短评打分': 5}
{'短评内容': '服务人员总是微笑服务，感觉很亲切，房间里也挺干净，设施基本都有，感觉挺不错。', '短评打分': 5}
{'短评内容': '酒店位置还可以，距离成都火车站不太远，房间卫生条件很不错，住着很舒适，性价比蛮高的', '短评打分': 5}
{'短评内容': '酒店服务热情，设施完善，干净舒适，性价比很好。', '短评打分': 5}
{'短评内容': '酒店周边交通挺便利的，服务挺热情，价格也合适，住的挺满意。', '短评打分': 5}
{'短评内容': '房间挺大的，楼下吃东西方便，可能是中央空调的关系，感觉有点热。\r\n那个感兴灯的设计不错，很环保，又方便，不用担心夜里开灯', '短评打分': 5}
{'短评内容': '房间不错，空调和热水都比较舒服。但卫生间感应灯不是很适应。总体来说整体不错，下次来成都我还会入住该酒店', '短评打分': 3}
{'短评内容': '这家酒店的地理位置比较好，周边吃的多，方便。离市中心也近。房间宽敞！！！', '短评打分': 3}
{'短评内容': '酒店总体感觉很好！服务员热情周到，卫生干净，房间有免费矿泉水，早餐也不错。是一家性价比较高的酒店，赞一个！！！', '短评打分': 5}
{'短评内容': '该宾馆离成都火车站不远，房间卫生舒适，设备良好，服务周到，服务台戴眼镜的小伙子微笑服务，亲切热情，给我印象最深。早餐品种也很丰富。这宾馆的性价比非常之好。要说不足之处就是楼下临街的餐馆晚上有些吵闹。我以后去成都肯定还是住这宾馆。', '短评打分': 5}
{'短评内容': '酒店是包含双早的，我们三个人还免费赠送了一份早餐，很满意！曾经住过成都的三家酒店，对于这家酒店是最满意的了！', '短评打分': 3}
{'短评内容': '服务很不错....', '短评打分': 5}
