{'短评内容': '这个酒店性价比很高，床很软，房间很大的', '短评打分': 4}
{'短评内容': '非常不错！', '短评打分': 5}
{'短评内容': '很好，值得推荐', '短评打分': 5}
{'短评内容': '很好，值得推荐', '短评打分': 5}
{'短评内容': '性价比很高的酒店！房间宽敞，舒服！', '短评打分': 5}
{'短评内容': '在7层，很安静。舒服。', '短评打分': 5}
{'短评内容': '性价比很高，房间宽敞，很现代化', '短评打分': 5}
{'短评内容': '早餐很不错…经常住这', '短评打分': 5}
{'短评内容': '性价比较高的酒店，不在商业区和闹市区，很安静。', '短评打分': 5}
{'短评内容': '很好的酒店！性价比很高！商务差旅，家庭旅游都很适宜！', '短评打分': 5}
{'短评内容': '性价比较高。房间很大，卫浴分离，电动窗帘。', '短评打分': 5}
{'短评内容': '还是不错的，以后就住这里了。。。', '短评打分': 5}
{'短评内容': '大床房是最划算的，和行政房一样平米，要说唯一的区别就是给的免费水不一样', '短评打分': 5}
{'短评内容': '行政房和大床房没区别，只是价格更高些，这酒店性价比还是很高的', '短评打分': 5}
{'短评内容': '性价比高！安静舒适！', '短评打分': 5}
{'短评内容': '٩( ˃̶͈̀௰˂̶͈́ )و￥买买买!!٩( ˃̶͈̀௰˂̶͈́ )و￥买买买!!', '短评打分': 5}
{'短评内容': '住过几次了，房间大科技感强，不错，现在基本上每次都住这儿了。', '短评打分': 5}
{'短评内容': '非常好的酒店，价格相当优惠，不错！', '短评打分': 5}
{'短评内容': '性价比较高的一家酒店！房间面积很大，格局也非常合理。各种硬件绝对对得起这个价格。着重推崇一下床，2米*2米够宽大，软硬非常合适，床上用品非常舒适，如果有机会的话，一定把家里的换成它。', '短评打分': 5}
{'短评内容': '每次去长沙都会住这里，很不错的地方，下次还住', '短评打分': 5}
{'短评内容': '帮人待定，不错', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店还不错啦，这边环境很好，那酒店也很大，服务也还不错，嗯，可能是，地方，有些偏远吧，人气不是很好。', '短评打分': 5}
{'短评内容': '这酒店设施好,服务态度好,早餐比较丰富,交通方便.性价比较高。', '短评打分': 5}
{'短评内容': '这酒店设施好,服务态度欠佳,早餐比较丰富,交通方便.性价比较高。', '短评打分': 5}
{'短评内容': '环境相当不错！', '短评打分': 5}
{'短评内容': '马桶有污渍差不掉，其他很好', '短评打分': 5}
{'短评内容': '返现速度很慢，很慢，很慢。', '短评打分': 4}
{'短评内容': '基本无人住，性价比一般，前台服务太不专业，估计人少的缘故', '短评打分': 4}
{'短评内容': '酒店设施不错，地理位置幽静，没有早餐', '短评打分': 5}
{'短评内容': '不错的高端商务酒店，感觉是长沙最好的。\n优点：1、硬件超一流，令人惊艳。电视隐藏在滑动墙里面，行政客房地面和墙面是玉石铺的，卫生间用的是魔术玻璃，平时是全透明的，关门就自动遮挡。睡衣是Gucci的，超柔软，每天上面还放一支玫瑰。餐厅和房间的刀具是德国的WMF。欧舒丹的洗浴用品很赞。细节不再一一描述了，对讲究品质的高端客人来讲也是无可挑剔的。\n      2、不是周末比较静，几乎没客人，连着2天自助', '短评打分': 5}
{'短评内容': '还不错，就是太远！', '短评打分': 3}
{'短评内容': '靠谱\n\n第一，硬件很赞\n\n第二，服务很好，叫车啥的很勤快\n\n第三，西餐凑合，但人少，我喜欢人少的。', '短评打分': 5}
{'短评内容': '酒店的硬件配置和整体氛围感觉很好，算得上货真价实：）', '短评打分': 5}
{'短评内容': '硬件一流，十分超预期。\n\n管理也还可以。\n\n价值人生', '短评打分': 5}
{'短评内容': '酒店硬件设施一级棒，很不错！\n唯一遗憾的是酒店新开业，外面还有明显标记，出租车司机找不到。还是交通不便，打车不太好打。\n', '短评打分': 5}
{'短评内容': '硬件条件非常不错。', '短评打分': 3}
