{'短评内容': '还不错吧，挺安静的', '短评打分': 5}
{'短评内容': '一般般吧，', '短评打分': 3}
{'短评内容': '有停车场，方便，快捷', '短评打分': 5}
{'短评内容': '一般，空调太老了', '短评打分': 4}
{'短评内容': '总体还行。', '短评打分': 4}
{'短评内容': '好、下次再来!', '短评打分': 5}
{'短评内容': '不错、下次再来住此地。餐厅卫生与饭菜质量不错、服务态度好!菜品种多样、每餐不重样，很难得；若晚餐时间再长些就更好了。', '短评打分': 5}
{'短评内容': '总体不错、值得再住。', '短评打分': 5}
{'短评内容': '环境好，满意', '短评打分': 5}
{'短评内容': '房屋干净整洁，客服服务周到。', '短评打分': 5}
{'短评内容': '环境舒适卫生！价格合理，值得入住！', '短评打分': 3}
{'短评内容': '酒店很安静，每个房间各有特色，服务很热情，早餐品种少了点，另外酒店位置比较偏，周边设施还跟不上，其他都不错，还会在住', '短评打分': 4}
{'短评内容': '很不错，经济实惠，有机会还会入住', '短评打分': 3}
{'短评内容': '环境可以，安静，价格稍贵', '短评打分': 3}
{'短评内容': '朋友入住感觉还不错，略吵！！！！', '短评打分': 4}
{'短评内容': '帮朋友订的，听说挺好的', '短评打分': 5}
