{'短评内容': '安静，卫生', '短评打分': 5}
{'短评内容': '帮朋友预订的，朋友说很不错', '短评打分': 5}
{'短评内容': '酒店很偏辟，但是很安静，没有吵闹。房间对着江河，所以静致不错。房间设施设备也齐全，方便。作为出差住宿是很舒服的。', '短评打分': 5}
{'短评内容': '住在亲戚家附近，房间还不错，床挺大', '短评打分': 4}
{'短评内容': '位置不错，服务不错', '短评打分': 5}
{'短评内容': '很好，很喜欢，强烈推荐', '短评打分': 5}
{'短评内容': '很好，很喜欢，强烈推荐', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '环境舒适，卫生干净，靠近江边，自然环境好。', '短评打分': 5}
{'短评内容': '酒店在汉水边，江景很美，房间设施齐全，值得推荐。', '短评打分': 5}
{'短评内容': '房间装修不錯', '短评打分': 5}
{'短评内容': '环境好 服务态度很好 可观景。', '短评打分': 5}
{'短评内容': '很清净，很卫生，可以看江景，不错的选择！', '短评打分': 5}
{'短评内容': '酒店干净，环境安静，服务较好，就是地理位置偏了点，周围找个吃东东的地方都很难，交通也不是很方便公汽轻轨都较远。', '短评打分': 5}
{'短评内容': '位置比较偏，叫车比较难，适合自驾的，性价比就高了。其它服务等都很好，满意', '短评打分': 4}
{'短评内容': '床单还起球，屋子小，跟这个价格不匹配。', '短评打分': 3}
{'短评内容': '还好还好还好还好还好还好', '短评打分': 4}
{'短评内容': '单人房空间比较大 虽然有点偏 但比较安静 适宜住宿 大厅很豪华 服务态度非常好', '短评打分': 5}
{'短评内容': '豪华舒适 服务一极棒', '短评打分': 5}
{'短评内容': '需要反复点评吗？第三次入住，感觉一如既往，不错，会给朋友推荐。', '短评打分': 5}
{'短评内容': ' 第二次入住，和第一次感觉一样好，惟一不足的是早餐品种太少，饭碗太小。', '短评打分': 5}
{'短评内容': '除了新装修有些味道，其他都很满意。位置在汉水边，看江景很好。酒店装修豪华，准四星级，服务规范。早餐也很丰盛，中西都有。性价比很高，就是所处位置，打的比较难，推荐自驾游入住。', '短评打分': 5}
{'短评内容': '位置比较偏僻，整体硬件不错，卫生状况也好，工作人员礼貌友好，很满意，下次还会选择这家酒店。', '短评打分': 5}
{'短评内容': ' 临江环境好，设施齐全，服务人员态度也不错。', '短评打分': 3}
