{'短评内容': '还不错，也挺干净的', '短评打分': 5}
{'短评内容': '酒店房间很大，也很干净整洁，没有异味，床单被套都很干净，设施设备很齐全。服务员态度很好，向他们咨询问题都很乐意为我解决。晚上有保安巡逻，窗户外头都有防盗窗，很安全哦！24小时热水，wifi信号也不错，装修也简约大方，是一个性价比很高的酒店！', '短评打分': 5}
{'短评内容': '酒店房间很大，也很干净整洁，没有异味，床单被套都很干净，设施设备很齐全。服务员态度很好，向他们咨询问题都很乐意为我解决。晚上有保安巡逻，窗户外头都有防盗窗，很安全哦！24小时热水，wifi信号也不错，装修也简约大方，是一个性价比很高的酒店！', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '挺干净的，位置不太好找，其他的都不错，', '短评打分': 5}
{'短评内容': '还可以吧。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '出行方便，价格经济实惠！', '短评打分': 5}
{'短评内容': '还行吧。设施老旧了点，不过没坏。交通位置方便', '短评打分': 5}
{'短评内容': '好好好好好 环境好', '短评打分': 5}
{'短评内容': '还不错 入住快。。。。', '短评打分': 5}
{'短评内容': '还可以不错哟&hellip;&hellip;', '短评打分': 5}
{'短评内容': '非常好的卖家，很热情啊，下次还会来的~宝贝很不错!', '短评打分': 5}
{'短评内容': '房间不错，酒店位置好', '短评打分': 5}
{'短评内容': '网上预订的价格比店里贵，店里要便宜25元', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '不错不错，用携程优惠很多的，！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '挺好的呢', '短评打分': 5}
{'短评内容': '好好干', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '一次不错的旅住体验。', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '还不错。床很大！不过一推开门就有俩小广告。哈哈！', '短评打分': 5}
{'短评内容': '每次进入房间都有异味   窗户也只能打开一点点    被子上也不是很干净    而且没有洗漱用品      浴室很滑     前台服务人员态度很不好   周围没有什么餐馆    总之感觉很不好', '短评打分': 2}
