{'短评内容': '不错很好方便', '短评打分': 5}
{'短评内容': '位置好，出入方便', '短评打分': 5}
{'短评内容': '环境好，交通方便', '短评打分': 5}
{'短评内容': '总体还行', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '真的不错，去衡水二中看孩子定的房间，干净、暖和，不错', '短评打分': 5}
{'短评内容': '总体可以，后院卫生还有提升空间。出入口与榕花大街关系待有明确标识。', '短评打分': 5}
{'短评内容': '地点方便 环境不错。。。。。。。', '短评打分': 5}
{'短评内容': '酒店环境不错，房子价格很低，实惠，酒店外有超市、菜市场，挺方便。', '短评打分': 4}
{'短评内容': '服务周到，干净卫生', '短评打分': 5}
{'短评内容': '还可以，就是餐不太好，房间也还可以', '短评打分': 5}
{'短评内容': '不错，还可以', '短评打分': 4}
{'短评内容': '可以', '短评打分': 2}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '非常好，房间干净。服务周到', '短评打分': 3}
