{'短评内容': '条件都很一般吧。。。毕竟价位摆在这。', '短评打分': 3}
{'短评内容': '五一期间188一晚。条件是真的差。。。', '短评打分': 1}
{'短评内容': '哈哈哈', '短评打分': 5}
{'短评内容': '房间还行，一般，不是很差', '短评打分': 3}
{'短评内容': '什么都不想说', '短评打分': 3}
{'短评内容': '什么都不想说', '短评打分': 3}
{'短评内容': '实惠', '短评打分': 5}
{'短评内容': '感觉很好，就是离车站有点远，要走一段。。不过第二天打车过去也不贵', '短评打分': 5}
{'短评内容': '蛮干净的，就是没有窗户，隔音不好', '短评打分': 3}
{'短评内容': '环境还可以，价格比较公道', '短评打分': 3}
{'短评内容': '很小的，比较偏僻的酒店', '短评打分': 3}
{'短评内容': '还可以吧，离夫子庙非常近。', '短评打分': 4}
{'短评内容': '勉强入住。离车站近的还有好多家宾馆。就是里车站近一点。', '短评打分': 3}
{'短评内容': '干净舒适，出行也很方便，服务态度很好，就是房间隔音效果不是很好。。', '短评打分': 5}
{'短评内容': '硬件一般，网速太差，只有1兆带宽，还有就是东西弄坏赔偿价格太高，赔偿价格都可以买好几个了，服务态度有点差，价格一般，空调好像坏了，洗澡没有热水，很坑爹！', '短评打分': 5}
{'短评内容': '不错干净周到', '短评打分': 3}
