{'短评内容': '环境一般，在修路，白天好吵，6楼新装修 味道很大。', '短评打分': 3}
{'短评内容': '极好', '短评打分': 5}
{'短评内容': '离人民医院不远，但附近购物吃饭不方便', '短评打分': 4}
{'短评内容': '酒店很不错，非常舒服好住', '短评打分': 5}
{'短评内容': '还是有些不太干净的地方，就是卫生间的镜台上还有上位房客留下的头发，其他的热水什么的都还挺好的，酒店的隔音效果不太好', '短评打分': 4}
{'短评内容': '房间很干净', '短评打分': 5}
{'短评内容': '房间不错，服务也很好！', '短评打分': 5}
{'短评内容': '还可以，干净卫生', '短评打分': 5}
{'短评内容': '满意！！！！', '短评打分': 5}
{'短评内容': '经济实惠，还不错，地理位置也还可以！', '短评打分': 5}
{'短评内容': '空调声音大', '短评打分': 3}
{'短评内容': '干净卫生，周边环境也不错，服务很好，尤其前台小伙子太好了，酒店设施完备好用，早餐不错。不足之处是，携程网预定酒店显示通用设施有免费停车场，结果没有停车场，是前台小伙子帮助联系，停到了酒店一个狭窄的小后院，我们才得以住下。', '短评打分': 5}
{'短评内容': '要有停车场就好', '短评打分': 5}
{'短评内容': '没有停车场', '短评打分': 3}
{'短评内容': '装修有点老旧，隔音也不好，卫生间不敢恭维，浴室积水换衣服要到外面换，被子有点潮湿，下次不会再选择这家了', '短评打分': 2}
{'短评内容': '很好很好', '短评打分': 5}
{'短评内容': '挺干净的，服务也很好，附近有一条步行街，可以去逛吃逛吃', '短评打分': 4}
{'短评内容': '不错，很好', '短评打分': 4}
{'短评内容': '不错，很好', '短评打分': 5}
{'短评内容': '地理位置好，酒店卫生到位，服务态度也不错，价格合理。', '短评打分': 5}
