{'短评内容': '没有大堂，后面会好吧。', '短评打分': 3}
{'短评内容': '学校附近，还凑合', '短评打分': 5}
{'短评内容': '干净卫生，价格适中', '短评打分': 5}
{'短评内容': '不喜欢，已经不是天府丽都。', '短评打分': 3}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '一般吧 但是综合性价比不错', '短评打分': 3}
{'短评内容': '一般吧 但是综合性价比不错', '短评打分': 3}
{'短评内容': '价格不贵，条件还行', '短评打分': 5}
{'短评内容': '整体还可以吧！房间够大，隔音也还好', '短评打分': 4}
{'短评内容': '续住打扫卫生有点差，每次还要自己要矿泉水，不要不给！', '短评打分': 4}
{'短评内容': '住了好几次，价格便宜。', '短评打分': 4}
{'短评内容': '这个价格也只能有这个水平了，酒店卫生较差，米黄色的地毯都黑了，厕所还有蟑螂。电梯很烂，没有安全感。', '短评打分': 3}
{'短评内容': '不错不错，真的不错。哎呀，字数够了', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '周围还是很方便，饭馆 便利店都有，房间卫生也不错，要是有吹风机就更好了，总体，性价比挺高的。', '短评打分': 5}
{'短评内容': '酒店太老了，被子有点潮潮的，感觉不是很舒服！设施非常旧。', '短评打分': 5}
