{'短评内容': '酒店感觉不错，下次还要住。', '短评打分': 5}
{'短评内容': '整体感觉还是不错的', '短评打分': 4}
{'短评内容': '', '短评打分': 5}
{'短评内容': '酒店地理位置优越，房间很新', '短评打分': 5}
{'短评内容': '房间布置不错 环境还是不错的，整体来说还行', '短评打分': 5}
{'短评内容': '运气不好，洗了个冷水澡都快冻感冒了，还好体质好', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '设施比较全.服务满意!', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '真的很很好房间大厅餐厅，全是中央空调', '短评打分': 5}
{'短评内容': '干净卫生，吃饭方便。', '短评打分': 4}
{'短评内容': '环境优雅，干净卫生，早饭可口，交通方便。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '还可以，一般吧，房间小，卫生还可以', '短评打分': 4}
{'短评内容': '还行吧', '短评打分': 4}
