{'descr': '靠近医院位置十分便捷，环境设施也很好，性价比很高，晚上也比较安静，没什么噪音，热水很足，电视机空调都有用，总体来说很好。', 'star': 5}
{'descr': '没有早餐，位置不错，应该可以停车', 'star': 4}
{'descr': '房间一般般', 'star': 3}
{'descr': '经济实惠型', 'star': 4}
{'descr': '#ud83d#udc4c', 'star': 5}
{'descr': '还好吧，旁边就是南京大排档', 'star': 5}
{'descr': '条件一般，距离省妇幼很近。', 'star': 4}
{'descr': '酒店位置优越，但是房间比较小，设施一般，没有洗漱用品', 'star': 4}
{'descr': '可以', 'star': 5}
{'descr': '比较近，离省妇幼保健院', 'star': 5}
{'descr': '一点都不隔音，太差了，周围环境也差，装修也不好，最大问题是不隔音', 'star': 1}
{'descr': '价廉物美，好', 'star': 5}
{'descr': '周边环境不错，购物方便，但酒店房间有点小，没有吹风机，卫生打扫不太及时，希望能再改进一些！', 'star': 3}
{'descr': '挺好的，住的很舒服，很惬意很爽', 'star': 5}
{'descr': '没办法，出差要求住肯定', 'star': 4}
{'descr': '服务好 卫生好 下次继续选择这家酒店 店长还是特别优秀的 值得推荐 希望酒店越做越好 支持', 'star': 5}
{'descr': '价格贵，房间设施差', 'star': 1}
{'descr': '房间空气差点', 'star': 3}
{'descr': '房间竟然没有手机信号!!!!一点信号都没有啊！！！！！', 'star': 1}
{'descr': '隔音效果不是很好，有蟑螂。地理位置很好，交通方便！', 'star': 3}
{'descr': '还不错，我是老顾客了', 'star': 3}
{'descr': '房间因为没窗户，感觉闷，房间隔音不好，其他还行…', 'star': 3}
{'descr': '一入住客房还没打扫，郁闷，电视要手工关，电话也不好！', 'star': 3}
{'descr': '额。浴室水下不去了。。还有浴巾总是脏脏的。希望改进。。因为我女朋友在那上学。。我还是算经常过去住的顾客。。。希望改进哦', 'star': 5}
{'descr': '还不错，挺干净的，房间里的设备都还挺新的。。', 'star': 5}
{'descr': '我不得不说，这是我住过的最差的酒店，还不如私人开的小旅馆好。', 'star': 1}
{'descr': '位置好！价格适中，条件还不错，就是无窗，总体上还是可以的！', 'star': 5}
