{'短评内容': '房间挺好', '短评打分': 5}
{'短评内容': '还不错吧 以后出行会考虑入住', '短评打分': 5}
{'短评内容': '硬件设施不错，交通便利', '短评打分': 5}
{'短评内容': '交通便利，环境还不错。', '短评打分': 5}
{'短评内容': '一般般，旅游季价格虚高，但是嘉峪关酒店整体价格高。迎宾路修路，留下的第一印象非常不好。给我升级了A楼，但房间设施依然一般般，洗手间有一块地方浪费了。被子只是一床毛毯套个被套，不服帖，一晚上睡得别扭坏了。对面有个超市，搞促销，东西巨便宜。还有德克士和永和豆浆，吃饭不成问题。', '短评打分': 3}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '属于商务型的经济酒店 设施非常一般，但酒店离火车站很近，非常方便。对面有永和豆浆、德克士，用餐也很方便，价格还可以，比较推荐。', '短评打分': 3}
{'短评内容': '环境好，交通方便，房屋内整洁卫生', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '性价比还可以的一酒店，大西北游选择入住的这里，房间大小适中，设施完善。就是位置比较不方便。', '短评打分': 4}
{'短评内容': '自由行选择入住的这里，旅游团很多都在这边入住。总体感觉满意，就是地点稍微不那么方便，房间大小都还满意。', '短评打分': 4}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '酒店位于城中心，楼下有饭店小吃，街对面有超市，很方便。晚上了也不吵闹。总体来说很不错，这次旅行性价比最高的酒店。唯一不足就是，没有洗发水，沐浴乳，只有最基本的用品。', '短评打分': 4}
{'短评内容': '暖气非常棒，干净卫生住着很舒服', '短评打分': 5}
{'短评内容': '好好好', '短评打分': 5}
{'短评内容': '环境不错，服务态度好', '短评打分': 4}
{'短评内容': '去方特玩住的，感觉还好', '短评打分': 3}
{'短评内容': '环境很好，只是装修味道太浓厚。呛的人无法忍受。', '短评打分': 5}
{'短评内容': '这个酒店不错环境好房间干净洗漱条件好性价比高', '短评打分': 3}
{'短评内容': '\r\n房间还算干净', '短评打分': 3}
{'短评内容': '宾馆房间旧，设施差，不过价格还可以，像一个90年代招待所                                            地理位置在市政府广场附近', '短评打分': 5}
{'短评内容': '崯宏宾馆地理位置优越，房间比较大，旁边就有火车票代售点，非常方便', '短评打分': 5}
{'短评内容': '宾馆设是不错，交通方便，对面有火车售票点，比较方便', '短评打分': 5}
{'短评内容': '就像是个招待所 洗手间很差 冲凉把龙头扭出来才有水', '短评打分': 1}
{'短评内容': '优点是空间很大。缺点：不能上网；淋浴水龙头不好用。', '短评打分': 3}
{'短评内容': '就是一家普通的宾馆了，有热水，不过水量比较小', '短评打分': 5}
{'短评内容': '酒店很干净整齐，对面是商场和超市，很方便。', '短评打分': 3}
{'短评内容': '最少20年的招待所，地毯脏，家具陈旧，卫生不好，热水要放5分钟，宽带经常断，热水壶里面，都是水垢，住了一天就跑了。', '短评打分': 1}
