{'短评内容': '服务挺好的', '短评打分': 5}
{'短评内容': '淋浴不好用', '短评打分': 4}
{'短评内容': '一般  卖家秀和买家秀有差距， 早上断电！！！！！！！问吧台  吧台说没有电费了。 不过服务的很好，中评！', '短评打分': 4}
{'短评内容': '挺好的 可以看夜景 商家挺有信用 不错', '短评打分': 5}
{'短评内容': '很实惠。不错', '短评打分': 4}
{'短评内容': '前台服务好的没话说，房间也很大！就是无线不能用，待改进。', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 3}
{'短评内容': '好好嗨你爱你爱你爱你', '短评打分': 3}
{'短评内容': '房间面积很大  还有个阳台  洗漱一般  淋浴有点漏水   不过周围生活条件很便利', '短评打分': 3}
{'短评内容': '位置不错，服务也好。就是靠街有点吵。', '短评打分': 4}
{'短评内容': '房间还好，电视机太旧了，房间面积很大，有阳台。', '短评打分': 5}
{'短评内容': '公寓改装的酒店 出差用 对于要求不大的住客可以选择', '短评打分': 4}
{'短评内容': '谁泥马还推荐这家破酒店啊！房间里到处是虫电梯巨慢马桶臭昏个人！', '短评打分': 5}
{'短评内容': '这个地段价格还是合适，但是装修有点旧了，帮朋友订的弄的自己都有点不好意思', '短评打分': 5}
{'短评内容': '房间还是挺大的，对于我一个人来说。有我喜欢的阳台和椅子，特高兴。只是九号看完演唱会回去已经停气了，这个让我很好烦。不过这个酒店离绵阳南河体育中心很近，下次看什么演唱会还可以去的。', '短评打分': 5}
{'短评内容': '房间的地板很多都已经拱起来了  而且还有些虫子爬来爬去  晚上睡觉睡不踏实 总害怕有虫子在床上怕  厕所特别小 灯光也暗  让我有些失望 毕竟这个价格也不低', '短评打分': 1}
{'短评内容': '  人太多，刚开始说我没预定，后来才有房子……', '短评打分': 3}
{'短评内容': '酒店服务态度不好，房间环境很差，酒店对客人极其不负责任！！！！！', '短评打分': 1}
{'短评内容': '环境很好，前台是美女哦', '短评打分': 3}
{'短评内容': '房间不错，干净，楼下就是人民公园，空气好，视野好', '短评打分': 3}
{'短评内容': '住了之后感觉挺好的，房间挺大的，床睡着挺舒服的，就是厕所有点儿小，灯光有点儿暗，总体来说还是挺好的。', '短评打分': 3}
{'短评内容': '性价比非常高的酒店，朋友们都非常满意', '短评打分': 3}
{'短评内容': '不知道谁谁在那里乱给好评，让我选了这么一家破店！第一个房间里面居然有很多不知名的大虫，长约1.5cm，床上，桌子上到处都是，吓得！底板到处都拱起来了，这房间居然还能给好评！！！！！换了一间，好点没有虫了，晚上回来的时候看见还是有虫，还好床上没有了。再说说设施啊，卫生间里面很多东西都有锈了。房间位置是那种写字楼差不多的，我住的旁边房间就是其他什么公司的，反正感觉很杂乱。', '短评打分': 1}
{'短评内容': '价格放在那边138，住一晚过渡一下还是可以的，地方很大，底楼也有保安值班，看上去也安全。\n\n对面就是肯德基也方便吃早饭。', '短评打分': 5}
