{'短评内容': '这个酒店不怎么样', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '一般般吧 毕竟价格就这样', '短评打分': 4}
{'短评内容': '该酒店位置不错，环境很好，酒店的服务态度也不错，值得推荐一下，下次来还会考虑住这里的，感觉蛮好的，呵呵^_^', '短评打分': 5}
{'短评内容': '该酒店位置不错，环境很好，酒店的服务态度也不错，值得推荐一下，下次来还会考虑住这里的，感觉蛮好的，呵呵^_^', '短评打分': 5}
{'短评内容': '好好好好哈哈哈好好好', '短评打分': 5}
{'短评内容': '外面环境看起来还不错，但房间的情况没有外面看起来那么好，地毯好些烟头烧的洞，壁纸也有破损！', '短评打分': 4}
{'短评内容': '房间有点旧，有味道，空调制热效果不行，周围环境一般，不如附近的青年主题酒店，下次不会再住了。', '短评打分': 3}
{'短评内容': '房间中等', '短评打分': 4}
{'短评内容': '房间中等', '短评打分': 4}
{'短评内容': '环境一般，周边有好玩的。免费停车。。。。。。', '短评打分': 4}
{'短评内容': '设施有点旧了', '短评打分': 3}
