{'短评内容': '干净卫生，享受乡下的宁静', '短评打分': 5}
{'短评内容': '下高速很快就能到，晚上十点之前到啊，十点路灯就熄了，我们晚了十分钟(๑˙ー˙๑)。早餐家常简单但很美味。停车还算方便，就是有狗晚上看不清楚有人有点怕，哈哈！', '短评打分': 5}
{'短评内容': '环境很好，书院很大，房间设施不错就是旧了点。早起山里逛逛，早饭在院子里吃的，和其它客人聊聊天好舒服。服务人员也很亲切！', '短评打分': 5}
{'短评内容': '虽然是星级精品农家乐但毕竟仍是农家乐，所以要求不能太高。但即便如此，还是觉得作为整个长濂村的门脸，像窗户关不严实、个别插座无法使用这种问题还是维护一下比较好。客栈整体偏潮湿户外晾晒不易干但好在屋内柜式空调伺候弥补了这个问题。餐厅正餐达到相当水准价格也接近一线大城市高档餐馆且附近几乎没有别的选择。入住那几天遇到两次停电和一次停水（持续1小时以上），更大的不便是恢复供水后很长时间水质发黄有沉淀物，连洗', '短评打分': 4}
{'短评内容': '安静祥和的地方，适合安静看看书，呼吸新鲜空气！', '短评打分': 5}
{'短评内容': '酒店位于鞍山书院景区内，环境不错，鸟语花香，溪水潺流……但是，酒店设备陈旧，破损严重，卫生更是一塌糊涂，房间有硕大的虫子，整个晚上让人提心吊胆！', '短评打分': 2}
{'短评内容': '环境很好 房间及其潮湿', '短评打分': 4}
{'短评内容': '环境不错，设施一般，住一晚还是推荐的', '短评打分': 3}
{'短评内容': '环境不错，旁边就是书院旧址。晚餐就在书院吃的，推荐', '短评打分': 3}
{'短评内容': '酒店吃饭住宿很不错，喜欢的，还有免费景点', '短评打分': 5}
{'短评内容': '环境不错，房间也比较大', '短评打分': 4}
{'短评内容': '环境很好，在山上，鞍山书院本身也是个景点，游人不多，很舒服。那边的服务员都很好', '短评打分': 5}
{'短评内容': '周边环境一流，由于地方难找，住宿人少，房间里有一点点气味。', '短评打分': 5}
{'短评内容': '挺不错的书院', '短评打分': 4}
{'短评内容': '古香古色很合我们心意，我已经第二次来了。', '短评打分': 5}
